Name,Position,Age,Birthdate,Height,Weight,Team
Patrick CAMPBELL,Fullback,22,2002-07-22,1.78,88,munster
Thaakir ABRAHAMS,Fullback,26,1999-01-10,1.75,77,munster
Andy WARWICK,Prop,34,1991-03-12,1.78,116,ulster
Bryan O'CONNOR,Prop,26,1998-10-23,1.91,107,ulster
Callum REID,Prop,26,1999-01-16,1.83,120,ulster
Corrie BARRETT,Prop,27,1998-06-13,1.76,112,ulster
Eric O'SULLIVAN,Prop,29,1995-11-30,1.86,118,ulster
Tom O'TOOLE,Prop,26,1998-09-23,1.85,123,ulster
John ANDREW,Hooker,32,1993-05-26,1.8,103,ulster
Rob HERRING,Hooker,35,1990-04-27,1.85,106,ulster
Tom STEWART,Hooker,24,2001-01-11,1.83,103,ulster
Alan O'CONNOR,Lock,32,1992-09-10,1.97,113,ulster
Cormac IZUCHUKWU,Lock,25,2000-01-28,2.01,117,ulster
Harry SHERIDAN,Lock,23,2001-09-21,1.96,121,ulster
Iain HENDERSON,Lock,33,1992-02-21,1.98,116,ulster
Kieran TREADWELL,Lock,29,1995-11-06,1.99,117,ulster
Matthew DALTON,Lock,26,1998-11-16,1.98,117,ulster
Conor MCKEE,Scrum-half,24,2001-03-20,1.83,87,ulster
Dave SHANAHAN,Scrum-half,32,1993-06-20,1.76,80,ulster
John COONEY,Scrum-half,35,1990-05-01,1.78,87,ulster
Michael MCDONALD,Scrum-half,26,1999-06-24,1.78,85,ulster
Nathan DOAK,Scrum-half,23,2001-12-17,1.85,87,ulster
Aidan MORGAN,Fly-half,24,2001-06-07,1.72,82,ulster
Jake FLANNERY,Fly-half,26,1999-06-07,1.83,91,ulster
Ethan MCILROY,Fullback,24,2000-08-10,1.8800000000000001,90,ulster
Mike LOWRY,Fullback,26,1998-08-20,1.71,80,ulster
Danilo FISCHETTI,Prop,27,1998-01-26,1.81,112,zebre
Ion NECULAI,Prop,24,2001-01-25,1.8900000000000001,135,zebre
Juan PITINARI,Prop,30,1995-01-18,1.87,118,zebre
Luca FRANCESCHETTO,Prop,26,1999-06-07,1.93,127,zebre
Luca RIZZOLI,Prop,23,2002-05-03,1.78,109,zebre
Matteo NOCERA,Prop,26,1999-01-16,1.94,130,zebre
Muhamed HASA,Prop,23,2001-09-10,1.83,125,zebre
Paolo BUONFIGLIO,Prop,30,1995-01-28,1.83,114,zebre
Giampietro RIBALDI,Hooker,28,1997-03-12,1.86,110,zebre
Giovanni QUATTRINI,Hooker,21,2003-09-29,1.79,111,zebre
Luca BIGI,Hooker,34,1991-04-19,1.82,108,zebre
Tommaso DI BARTOLOMEO,Hooker,24,2001-01-04,1.8,107,zebre
Andrea ZAMBONIN,Lock,24,2000-09-03,2.02,112,zebre
Francesco RUFFOLO,Lock,22,2002-10-31,1.98,118,zebre
Leonard KRUMOV,Lock,29,1996-05-01,1.98,120,zebre
Matteo CANALI,Lock,26,1998-09-11,1.98,123,zebre
Alessandro FUSCO,Scrum-half,25,1999-10-28,1.85,91,zebre
Gonzalo GARCIA,Scrum-half,26,1999-03-05,1.73,78,zebre
Patricio BARONIO,Scrum-half,29,1996-05-06,1.78,82,zebre
Thomas DOMINGUEZ,Scrum-half,25,1999-12-18,1.75,79,zebre
Geronimo PRISCIANTELLI,Fly-half,25,1999-08-23,1.83,87,zebre
Giacomo DA RE,Fly-half,26,1999-03-29,1.8,84,zebre
Giovanni MONTEMAURI,Fly-half,24,2000-10-24,1.8900000000000001,92,zebre
Jacopo TRULLA,Fullback,24,2000-07-05,1.83,88,zebre
Lorenzo PANI,Fullback,22,2002-07-04,1.93,96,zebre
