Name,Position,Age,Birthdate.,Height,Weight,Height..ft.in.,Weight.st.lb,Contract,Length,Team
Ben HEALY,Fly-half,26,29/06/1999,1.91,100,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,2026,edinburgh
Cammy SCOTT,Fly-half,23,08/09/2001,1.81,83,5 ft 11 in,13 st 0.98 lb; 182.98 lb,PRO,2027,edinburgh
James LANG,Fly-half,30,04/04/1995,1.83,95,6 ft,14 st; 209.44 lb,PRO,2026,edinburgh
Ross THOMPSON,Fly-half,26,10/04/1999,1.83,86,6 ft,13 st; 189.60 lb,PRO,2027,edinburgh
Mark BENNETT,Centre,32,03/02/1993,1.83,91,6 ft,14 st; 200.62 lb,PRO,2025,edinburgh
Matt CURRIE,Centre,24,22/02/2001,1.91,95,6 ft 3 in,14 st 13.44 lb; 209.44 lb,PRO,2027,edinburgh
Matt SCOTT,Centre,34,30/09/1990,1.87,101,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,2025,edinburgh
Mosese TUIPULOTU,Centre,24,05/05/2001,1.82,102,6 ft,16 st; 224.87 lb,PRO,2026,edinburgh
Wes GOOSEN,Centre,29,20/10/1995,1.8,92,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,edinburgh
Darcy GRAHAM,Winger,28,21/06/1997,1.77,85,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,2027,edinburgh
Duhan VAN DER MERWE,Winger,30,04/06/1995,1.93,106,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,2027,edinburgh
Ross MCCANN,Winger,27,30/10/1997,1.81,91,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,edinburgh
Ross MCKNIGHT,Winger,23,03/04/2002,1.95,108,6 ft 5 in,17 st 0.10 lb; 238.10 lb,PRO,2025,edinburgh
Emiliano BOFFELLI,Fullback,30,16/01/1995,1.92,96,6 ft 4 in,15 st 1.64 lb; 211.64 lb,PRO,2025,edinburgh
Harry PATERSON,Fullback,24,28/06/2001,1.91,93,6 ft 3 in,14 st 9.03 lb; 205.03 lb,PRO,2027,edinburgh
Nathan SWEENEY,Fullback,24,17/04/2001,1.81,89,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,2025,edinburgh
Fin RICHARDSON,Prop,26,16/09/1998,1.83,120,6 ft,18 st; 264.55 lb,PRO,,glasgow
Jamie BHATTI,Prop,31,08/09/1993,1.85,125,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2026,glasgow
Murphy WALKER,Prop,25,25/10/1999,1.85,110,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2026,glasgow
Nathan MCBETH,Prop,27,08/06/1998,1.8900000000000001,120,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2027,glasgow
Patrick SCHICKERLING,Prop,26,16/10/1998,1.82,120,6 ft,18 st; 264.55 lb,PRO,,glasgow
Rory SUTHERLAND,Prop,32,24/08/1992,1.83,116,6 ft,18 st; 255.74 lb,PRO,2026,glasgow
Sam TALAKAI,Prop,33,04/09/1991,1.83,122,6 ft,19 st; 268.96 lb,PRO,,glasgow
Zander FAGERSON,Prop,29,19/01/1996,1.8800000000000001,126,6 ft 2 in,19 st 11.78 lb; 277.78 lb,PRO,,glasgow
Angus FRASER,Hooker,25,09/12/1999,1.81,110,5 ft 11 in,17 st 4.51 lb; 242.51 lb,PRO,,glasgow
Grant STEWART,Hooker,30,28/02/1995,1.82,113,6 ft,17 st; 249.12 lb,PRO,2026,glasgow
Gregor HIDDLESTON,Hooker,23,26/03/2002,1.87,120,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,glasgow
Johnny MATTHEWS,Hooker,31,05/07/1993,1.83,110,6 ft,17 st; 242.51 lb,PRO,2026,glasgow
Alex SAMUEL,Lock,22,27/12/2002,2.07,124,6 ft 9 in,19 st 7.37 lb; 273.37 lb,PRO,2027,glasgow
Euan FERRIE,Lock,23,23/07/2001,1.94,110,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2027,glasgow
Gregor BROWN,Lock,23,01/07/2001,1.96,109,6 ft 5 in,17 st 2.30 lb; 240.30 lb,PRO,2027,glasgow
JP DU PREEZ,Lock,30,09/11/1994,2.08,130,6 ft 10 in,20 st 6.60 lb; 286.60 lb,PRO,2025,glasgow
Max WILLIAMSON,Lock,23,08/05/2002,2.01,120,6 ft 7 in,18 st 12.55 lb; 264.55 lb,PRO,2027,glasgow
Richie GRAY,Lock,35,24/08/1989,2.05,126,6 ft 9 in,19 st 11.78 lb; 277.78 lb,PRO,,glasgow
Scott CUMMINGS,Lock,28,03/12/1996,1.99,117,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2026,glasgow
Ally MILLER,Back row,29,10/05/1996,1.93,112,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2026,glasgow
Henco VENTER,Back row,33,27/03/1992,1.87,108,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2025,glasgow
Jack DEMPSEY,Back row,31,12/04/1994,1.91,112,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,2025,glasgow
Jack MANN,Back row,25,17/11/1999,1.94,115,6 ft 4 in,18 st 1.53 lb; 253.53 lb,PRO,2025,glasgow
Matt FAGERSON,Back row,26,16/07/1998,1.86,110,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2028,glasgow
Rory DARGE,Back row,25,23/02/2000,1.86,102,6 ft 1 in,16 st 0.87 lb; 224.87 lb,PRO,2028,glasgow
Sione VAILANU,Back row,30,27/01/1995,1.8900000000000001,119,6 ft 2 in,18 st 10.35 lb; 262.35 lb,PRO,,glasgow
Ben AFSHAR,Scrum-half,22,02/04/2003,1.84,81,6 ft,12 st; 178.57 lb,PRO,,glasgow
George HORNE,Scrum-half,30,12/05/1995,1.74,81,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,2027,glasgow
Jamie DOBIE,Scrum-half,24,07/06/2001,1.75,81,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,,glasgow
Sean KENNEDY,Scrum-half,34,24/04/1991,1.73,80,5 ft 8 in,12 st 8.37 lb; 176.37 lb,PRO,2025,glasgow
Adam HASTINGS,Fly-half,28,05/10/1996,1.8900000000000001,93,6 ft 2 in,14 st 9.03 lb; 205.03 lb,PRO,2026,glasgow
Duncan WEIR,Fly-half,34,10/05/1991,1.76,91,5 ft 9 in,14 st 4.62 lb; 200.62 lb,PRO,2026,glasgow
Tom JORDAN,Fly-half,26,18/09/1998,1.8900000000000001,96,6 ft 2 in,15 st 1.64 lb; 211.64 lb,PRO,2025,glasgow
Huw JONES,Centre,31,17/12/1993,1.86,102,6 ft 1 in,16 st 0.87 lb; 224.87 lb,PRO,2026,glasgow
Kyle STEYN,Centre,31,29/01/1994,1.8800000000000001,102,6 ft 2 in,16 st 0.87 lb; 224.87 lb,PRO,2028,glasgow
Sione TUIPULOTU,Centre,28,12/02/1997,1.78,104,5 ft 10 in,16 st 5.28 lb; 229.28 lb,PRO,2028,glasgow
Stafford MCDOWALL,Centre,27,24/02/1998,1.93,103,6 ft 4 in,16 st 3.08 lb; 227.08 lb,PRO,2025,glasgow
Facundo CORDERO,Winger,26,31/07/1998,1.77,86,5 ft 10 in,13 st 7.60 lb; 189.60 lb,PRO,2025,glasgow
Sebastián CANCELLIERE,Winger,31,17/09/1993,1.85,90,6 ft 1 in,14 st 2.42 lb; 198.42 lb,PRO,2025,glasgow
Josh MCKAY,Fullback,27,10/10/1997,1.83,95,6 ft,14 st; 209.44 lb,PRO,2028,glasgow
Kyle ROWE,Fullback,27,08/02/1998,1.83,88,6 ft,13 st; 194.01 lb,PRO,2027,glasgow
Ollie SMITH,Fullback,24,07/08/2000,1.8800000000000001,90,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,,glasgow
Enzo AVACA,Prop,25,12/06/2000,1.8800000000000001,118,6 ft 2 in,18 st 8.15 lb; 260.15 lb,PRO,,benetton
Giosué ZILOCCHI,Prop,28,15/01/1997,1.8900000000000001,115,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,2027,benetton
Ivan NEMER,Prop,27,22/04/1998,1.8,117,5 ft 11 in,18 st 5.94 lb; 257.94 lb,PRO,2026,benetton
Mirco SPAGNOLO,Prop,24,02/01/2001,1.86,110,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2027,benetton
Nahuel TETAZ CHAPARRO,Prop,35,06/11/1989,1.86,121,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,,benetton
Simone FERRARI,Prop,31,28/03/1994,1.86,120,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,2029,benetton
Thomas GALLO,Prop,26,30/04/1999,1.77,107,5 ft 10 in,16 st 11.89 lb; 235.89 lb,PRO,2027,benetton
Tiziano PASQUALI,Prop,30,14/07/1994,1.85,118,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,2026,benetton
Agustín CREEVY,Hooker,40,15/03/1985,1.8,108,5 ft 11 in,17 st 0.10 lb; 238.10 lb,PRO,2025,benetton
Bautista BERNASCONI,Hooker,23,14/09/2001,1.75,114,5 ft 9 in,17 st 13.33 lb; 251.33 lb,PRO,2027,benetton
Marco MANFREDI,Hooker,27,18/09/1997,1.83,110,6 ft,17 st; 242.51 lb,PRO,2026,benetton
Siua MAILE,Hooker,28,18/02/1997,1.81,113,5 ft 11 in,17 st 11.12 lb; 249.12 lb,PRO,2026,benetton
Edoardo IACHIZZI,Lock,27,26/05/1998,1.96,112,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2025,benetton
Eli SNYMAN,Lock,29,25/01/1996,2.01,119,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,2026,benetton
Federico RUZZA,Lock,30,04/08/1994,1.98,110,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2028,benetton
Gideon KOEGELENBERG,Lock,30,25/11/1994,2.02,124,6 ft 8 in,19 st 7.37 lb; 273.37 lb,PRO,2025,benetton
Jadin KINGI,Lock,22,19/08/2002,1.98,108,6 ft 6 in,17 st 0.10 lb; 238.10 lb,PRO,2027 +1,benetton
Niccolò CANNONE,Lock,27,17/05/1998,1.97,121,6 ft 6 in,19 st 0.76 lb; 266.76 lb,PRO,2026,benetton
Riccardo FAVRETTO,Lock,23,18/10/2001,2,108,6 ft 7 in,17 st 0.10 lb; 238.10 lb,PRO,2026,benetton
Scott SCRAFTON,Lock,32,18/04/1993,2,120,6 ft 7 in,18 st 12.55 lb; 264.55 lb,PRO,2026 +1,benetton
Alessandro IZEKOR,Back row,25,05/03/2000,1.96,110,6 ft 5 in,17 st 4.51 lb; 242.51 lb,PRO,2028,benetton
Giulio MARINI,Back row,23,23/01/2002,1.95,102,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,,benetton
Lorenzo CANNONE,Back row,24,28/01/2001,1.9,106,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2026,benetton
Manuel ZULIANI,Back row,25,26/04/2000,1.8800000000000001,111,6 ft 2 in,17 st 6.71 lb; 244.71 lb,PRO,2027,benetton
Michele LAMARO,Back row,27,03/06/1998,1.8800000000000001,103,6 ft 2 in,16 st 3.08 lb; 227.08 lb,PRO,2028,benetton
Seb NEGRI,Back row,31,30/06/1994,1.94,111,6 ft 4 in,17 st 6.71 lb; 244.71 lb,PRO,2028,benetton
Toa HALAFIHI,Back row,31,27/11/1993,1.85,110,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2025,benetton
Alessandro GARBISI,Scrum-half,23,11/04/2002,1.74,88,5 ft 9 in,13 st 12.01 lb; 194.01 lb,PRO,2027,benetton
Andy UREN,Scrum-half,29,20/02/1996,1.78,93,5 ft 10 in,14 st 9.03 lb; 205.03 lb,PRO,2028,benetton
Lautaro BAZÁN VÉLEZ,Scrum-half,29,24/02/1996,1.73,82,5 ft 8 in,12 st 12.78 lb; 180.78 lb,PRO,2025,benetton
Nicolò CASILIO,Scrum-half,26,12/10/1998,1.8,85,5 ft 11 in,13 st 5.39 lb; 187.39 lb,PRO,2025,benetton
Giuliano AVACA,Fly-half,22,25/02/2003,1.8,89,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,benetton
Jacob UMAGA,Fly-half,26,08/07/1998,1.82,91,6 ft,14 st; 200.62 lb,PRO,2026,benetton
Leonardo MARIN,Fly-half,23,23/02/2002,1.8800000000000001,88,6 ft 2 in,13 st 12.01 lb; 194.01 lb,PRO,2026,benetton
Tomás ALBORNOZ,Fly-half,27,17/09/1997,1.77,82,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,2026,benetton
Federico ZANANDREA,Centre,20,30/01/2005,1.9,103,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,,benetton
Ignacio BREX,Centre,33,26/05/1992,1.8900000000000001,99,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,2025,benetton
Malakai FEKITOA,Centre,33,10/05/1992,1.87,100,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2026,benetton
Marco ZANON,Centre,27,03/10/1997,1.8800000000000001,97,6 ft 2 in,15 st 3.85 lb; 213.85 lb,PRO,2026,benetton
Tommaso MENONCELLO,Centre,22,20/08/2002,1.87,101,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,2026,benetton
Ignacio MENDY,Winger,25,29/06/2000,1.87,90,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,2025,benetton
Louis LYNAGH,Winger,24,03/12/2000,1.8,96,5 ft 11 in,15 st 1.64 lb; 211.64 lb,PRO,2026 +1,benetton
Onisi RATAVE,Winger,33,06/06/1992,1.79,100,5 ft 10 in,15 st 10.46 lb; 220.46 lb,PRO,2026,benetton
Paolo ODOGWU,Winger,28,18/02/1997,1.75,100,5 ft 9 in,15 st 10.46 lb; 220.46 lb,PRO,2027,benetton
Matt GALLAGHER,Fullback,28,26/10/1996,1.85,96,6 ft 1 in,15 st 1.64 lb; 211.64 lb,PRO,2027,benetton
Rhyno SMITH,Fullback,32,11/02/1993,1.73,83,5 ft 8 in,13 st 0.98 lb; 182.98 lb,PRO,2026,benetton
Andrew PORTER,Prop,29,16/01/1996,1.85,125,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2027,leinster
Cian HEALY,Prop,37,07/10/1987,1.85,117,6 ft 1 in,18 st 5.94 lb; 257.94 lb,PRO,2025,leinster
Ivan SOROKA,Prop,30,01/10/1994,1.8,110,5 ft 11 in,17 st 4.51 lb; 242.51 lb,PRO,,leinster
Jack BOYLE,Prop,23,10/03/2002,1.85,113,6 ft 1 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Paddy MCCARTHY,Prop,22,28/05/2003,1.82,110,6 ft,17 st; 242.51 lb,PRO,,leinster
Rabah SLIMANI,Prop,35,18/10/1989,1.78,124,5 ft 10 in,19 st 7.37 lb; 273.37 lb,PRO,2026,leinster
Tadhg FURLONG,Prop,32,14/11/1992,1.83,119,6 ft,18 st; 262.35 lb,PRO,2027,leinster
Tom CLARKSON,Prop,25,22/02/2000,1.85,118,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,,leinster
Dan SHEEHAN,Hooker,26,17/09/1998,1.91,110,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2026,leinster
John MCKEE,Hooker,25,15/02/2000,1.83,109,6 ft,17 st; 240.30 lb,PRO,,leinster
Ronan KELLEHER,Hooker,27,24/01/1998,1.85,108,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,2025,leinster
Brian DEENY,Lock,25,03/02/2000,2,119,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,,leinster
James RYAN,Lock,28,24/07/1996,2.01,115,6 ft 7 in,18 st 1.53 lb; 253.53 lb,PRO,2028,leinster
Joe MCCARTHY,Lock,24,26/03/2001,1.98,119,6 ft 6 in,18 st 10.35 lb; 262.35 lb,PRO,2028,leinster
RG SNYMAN,Lock,30,29/01/1995,2.07,131,6 ft 9 in,20 st 8.81 lb; 288.81 lb,PRO,2026,leinster
Ryan BAIRD,Lock,25,26/07/1999,1.98,113,6 ft 6 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Alex SOROKA,Back row,24,19/02/2001,1.96,107,6 ft 5 in,16 st 11.89 lb; 235.89 lb,PRO,,leinster
Caelan DORIS,Back row,27,02/04/1998,1.93,106,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,2027,leinster
Jack CONAN,Back row,32,29/07/1992,1.93,111,6 ft 4 in,17 st 6.71 lb; 244.71 lb,PRO,2027,leinster
James CULHANE,Back row,22,22/10/2002,1.93,113,6 ft 4 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Josh VAN DER FLIER,Back row,32,25/04/1993,1.83,105,6 ft,16 st; 231.49 lb,PRO,2026,leinster
Max DEEGAN,Back row,28,01/10/1996,1.93,110,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,,leinster
Scott PENNY,Back row,25,22/09/1999,1.85,104,6 ft 1 in,16 st 5.28 lb; 229.28 lb,PRO,,leinster
Will CONNORS,Back row,29,04/04/1996,1.96,105,6 ft 5 in,16 st 7.49 lb; 231.49 lb,PRO,,leinster
Cormac FOLEY,Scrum-half,25,24/10/1999,1.8,90,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,,leinster
Jamison GIBSON-PARK,Scrum-half,33,23/02/1992,1.75,83,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,,leinster
Luke MCGRATH,Scrum-half,32,03/02/1993,1.75,84,5 ft 9 in,13 st 3.19 lb; 185.19 lb,PRO,,leinster
Ciarán FRAWLEY,Fly-half,27,04/12/1997,1.91,98,6 ft 3 in,15 st 6.05 lb; 216.05 lb,PRO,,leinster
Ross BYRNE,Fly-half,30,08/04/1995,1.93,95,6 ft 4 in,14 st 13.44 lb; 209.44 lb,PRO,2025,leinster
Sam PRENDERGAST,Fly-half,22,12/02/2003,1.94,91,6 ft 4 in,14 st 4.62 lb; 200.62 lb,PRO,,leinster
Garry RINGROSE,Centre,30,26/01/1995,1.86,92,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,2028,leinster
Jamie OSBORNE,Centre,23,16/11/2001,1.93,98,6 ft 4 in,15 st 6.05 lb; 216.05 lb,PRO,,leinster
Jordie BARRETT,Centre,28,17/02/1997,1.96,102,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,2025,leinster
Robbie HENSHAW,Centre,32,12/06/1993,1.91,100,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,2028,leinster
Tommy O'BRIEN,Centre,27,28/05/1998,1.83,95,6 ft,14 st; 209.44 lb,PRO,,leinster
James LOWE,Winger,32,08/07/1992,1.8800000000000001,105,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,,leinster
Jordan LARMOUR,Winger,28,10/06/1997,1.78,91,5 ft 10 in,14 st 4.62 lb; 200.62 lb,PRO,,leinster
Liam TURNER,Winger,25,14/07/1999,1.75,91,5 ft 9 in,14 st 4.62 lb; 200.62 lb,PRO,2025,leinster
Rob RUSSELL,Winger,26,13/01/1999,1.83,91,6 ft,14 st; 200.62 lb,PRO,2025,leinster
Hugo KEENAN,Fullback,29,18/06/1996,1.85,92,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,2026,leinster
Jimmy O'BRIEN,Fullback,28,27/11/1996,1.83,90,6 ft,14 st; 198.42 lb,PRO,,leinster
Asenathi NTLABAKANYE,Prop,26,15/04/1999,1.82,153,6 ft,24 st; 337.31 lb,PRO,2027,lions
Conraad VAN VUUREN,Prop,29,34798,1.83,115,6 ft,18 st; 253.53 lb,PRO,,lions
Heiko POHLMANN,Prop,23,16/01/2002,1.85,128,6 ft 1 in,20 st 2.19 lb; 282.19 lb,PRO,,lions
Juan SCHOEMAN,Prop,33,18/09/1991,1.86,120,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Morgan NAUDÉ,Prop,26,36107,1.81,108,5 ft 11 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
RF SCHOEMAN,Prop,21,14/08/2003,1.8800000000000001,122,6 ft 2 in,19 st 2.96 lb; 268.96 lb,PRO,,lions
Sivu MABECE,Prop,22,27/07/2002,1.86,120,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Stian DE BRUYN,Prop,NA,-,1.8800000000000001,118,6 ft 2 in,18 st 8.15 lb; 260.15 lb,PRO,,lions
Franco MARAIS,Hooker,32,23/09/1992,1.85,108,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,,lions
Jaco VISAGIE,Hooker,32,33823,1.8800000000000001,107,6 ft 2 in,16 st 11.89 lb; 235.89 lb,PRO,,lions
Jacques-Lois DU TOIT,Hooker,24,23/04/2001,1.75,96,5 ft 9 in,15 st 1.64 lb; 211.64 lb,PRO,,lions
Marno GROBBELAAR,Hooker,21,37903,1.83,105,6 ft,16 st; 231.49 lb,PRO,,lions
Morné BRANDON,Hooker,24,25/11/2000,1.84,106,6 ft,16 st; 233.69 lb,PRO,2025,lions
PJ BOTHA,Hooker,27,20/01/1998,1.81,105,5 ft 11 in,16 st 7.49 lb; 231.49 lb,PRO,,lions
SJ KOTZE,Hooker,22,37653,1.86,110,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,,lions
Darrien LANDSBERG,Lock,26,26/07/1998,1.96,111,6 ft 5 in,17 st 6.71 lb; 244.71 lb,PRO,,lions
Etienne OOSTHUIZEN,Lock,32,22/12/1992,1.98,128,6 ft 6 in,20 st 2.19 lb; 282.19 lb,PRO,,lions
Johnré STOPFORTH,Lock,NA,-,2,105,6 ft 7 in,16 st 7.49 lb; 231.49 lb,PRO,,lions
Luca RIBBENS,Lock,21,37719,1.93,112,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,,lions
Raynard ROETS,Lock,24,37138,1.97,108,6 ft 6 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
Reinhard NOTHNAGEL,Lock,27,25/09/1997,2.02,117,6 ft 8 in,18 st 5.94 lb; 257.94 lb,PRO,2025,lions
Ruan VENTER,Lock,22,29/11/2002,1.98,120,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2025,lions
Ruben SCHOEMAN,Lock,29,14/03/1996,1.99,124,6 ft 6 in,19 st 7.37 lb; 273.37 lb,PRO,2025,lions
Siba QOMA,Lock,28,17/02/1997,1.9,108,6 ft 3 in,17 st 0.10 lb; 238.10 lb,PRO,,lions
Tiaan WESSELS,Lock,22,37865,1.95,120,6 ft 5 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Francke HORN,Back row,26,24/05/1999,1.9,106,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2028,lions
Izan ESTERHUIZEN,Back row,24,37108,1.91,112,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,,lions
Jarod CAIRNS,Back row,24,18/05/2001,1.8800000000000001,100,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,,lions
JC PRETORIUS,Back row,27,29/01/1998,1.86,92,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,,lions
Renzo DU PLESSIS,Back row,22,37597,1.8800000000000001,108,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
Ruan DELPORT,Back row,22,37322,2,109,6 ft 7 in,17 st 2.30 lb; 240.30 lb,PRO,2025,lions
Ruhan STRAEULI,Back row,26,35896,1.93,112,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2025,lions
WJ STEENKAMP,Back row,24,28/09/2000,1.9,107,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,,lions
Layton HORN,Scrum-half,22,21/05/2003,1.83,82,6 ft,12 st; 180.78 lb,PRO,,lions
Morné VAN DEN BERG,Scrum-half,27,24/10/1997,1.75,82,5 ft 9 in,12 st 12.78 lb; 180.78 lb,PRO,2025,lions
Nico STEYN,Scrum-half,23,37594,1.77,78,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,,lions
Gianni LOMBARD,Fly-half,27,22/01/1998,1.78,82,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,,lions
Kade WOLHUTER,Fly-half,24,28/06/2001,1.82,93,6 ft,14 st; 205.03 lb,PRO,2026,lions
Lubabalo DOBELA,Fly-half,27,35831,1.75,80,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,,lions
Sam FRANCIS,Fly-half,22,14/03/2003,1.9,100,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,,lions
Zander DU PLESSIS,Fly-half,25,36742,1.9,90,6 ft 3 in,14 st 2.42 lb; 198.42 lb,PRO,,lions
Erich CRONJÉ,Centre,28,35431,1.84,95,6 ft,14 st; 209.44 lb,PRO,,lions
Henco VAN WYK,Centre,24,37077,1.8,92,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,lions
Manuel RASS,Centre,27,19/04/1998,1.74,88,5 ft 9 in,13 st 12.01 lb; 194.01 lb,PRO,2025,lions
Marius LOUW,Centre,29,24/10/1995,1.82,97,6 ft,15 st; 213.85 lb,PRO,2025,lions
Rynhardt JONKER,Centre,25,18/04/2000,1.8,90,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,,lions
Boldwin HANSEN,Winger,24,26/03/2001,1.92,98,6 ft 4 in,15 st 6.05 lb; 216.05 lb,PRO,,lions
Edwill VAN DER MERWE,Winger,29,35403,1.81,90,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,lions
Keagan SMITH,Winger,22,15/05/2003,1.75,81,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,,lions
Rabz MAXWANE,Winger,29,14/08/1995,1.81,90,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,lions
Quan HORN,Fullback,24,27/06/2001,1.81,84,5 ft 11 in,13 st 3.19 lb; 185.19 lb,PRO,2025,lions
Richard KRIEL,Fullback,24,36714,1.94,95,6 ft 4 in,14 st 13.44 lb; 209.44 lb,PRO,,lions
Tapiwa MAFURA,Fullback,29,35373,1.75,80,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,,lions
Dian BLEULER,Prop,25,05/08/1999,1.83,120,6 ft,18 st; 264.55 lb,PRO,,sharks
Dian HEUNIS,Prop,22,20/05/2003,1.85,126,6 ft 1 in,19 st 11.78 lb; 277.78 lb,PRO,,sharks
Hanro JACOBS,Prop,25,14/03/2000,1.85,129,6 ft 1 in,20 st 4.40 lb; 284.40 lb,PRO,2027,sharks
Khwezi MONA,Prop,32,08/10/1992,1.83,120,6 ft,18 st; 264.55 lb,PRO,,sharks
Mawande MDANDA,Prop,22,09/03/2003,1.8900000000000001,132,6 ft 2 in,20 st 11.01 lb; 291.01 lb,PRO,,sharks
Ntuthuko MCHUNU,Prop,26,05/04/1999,1.8800000000000001,120,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2025,sharks
Ox NCHÉ,Prop,29,23/07/1995,1.76,123,5 ft 9 in,19 st 5.17 lb; 271.17 lb,PRO,2028,sharks
Phatu GANYANE,Prop,22,17/01/2003,1.85,123,6 ft 1 in,19 st 5.17 lb; 271.17 lb,PRO,2027,sharks
Ruan DREYER,Prop,34,16/09/1990,1.86,115,6 ft 1 in,18 st 1.53 lb; 253.53 lb,PRO,2027,sharks
Trevor NYAKANE,Prop,36,04/05/1989,1.78,122,5 ft 10 in,19 st 2.96 lb; 268.96 lb,PRO,,sharks
Vincent KOCH,Prop,35,13/03/1990,1.85,118,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,,sharks
