name,wins,looses,draws,ko_rate,stance,age,height,reach,country
frank ropis,35,12,5,34.6%,Orthodox,67,5.51 ft (1.68 m),Unknown,Australia
Julian Alan Romero Ocampo,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
Guido Joel Romero,1,2,1,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Valentín Rodrigo Romero,0,1,0,0%,Orthodox,21,Unknown,Unknown,Unknown
Enzo Leonardo Alexander Romero,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
Pablo Daniel Romero,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Rolando Florencio Romero,6,0,0,83.3%,Orthodox,26,Unknown,Unknown,United States
steve romero,23,2,1,53.8%,Orthodox,59,Unknown,Unknown,United States
Brenda Sofia Romero,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Jose Roman Vazquez,0,0,0,0%,Orthodox,28,Unknown,Unknown,Puerto Rico
Evgeny Romanov,12,0,0,66.7%,Orthodox,37,Unknown,Unknown,Russian Federation
miguel roman,62,13,0,62.7%,Orthodox,36,5.41 ft (1.65 m),Unknown,Mexico
Michael Rolland,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Nigeria
daniel roman,27,3,1,31.3%,Orthodox,32,5.41 ft (1.65 m),Unknown,United States
Hugo Alberto Roldan,18,0,1,36.8%,Orthodox,29,Unknown,Unknown,Argentina
luis rolon,19,4,1,50%,Orthodox,54,Unknown,Unknown,Puerto Rico
Marcelo Damian Rojas,0,1,0,0%,Orthodox,34,Unknown,Unknown,Argentina
manuel rey rojas,9,3,0,16.7%,Unknown,29,Unknown,Unknown,United States
tomas rojas,51,19,1,47.2%,Orthodox,42,5.68 ft (1.73 m),69.29 inches (176 cm),Mexico
Jhon Alexander Rojas,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
jesus m rojas,27,3,2,60.6%,Orthodox,35,Unknown,Unknown,Puerto Rico
Marisol Rodriguez Rodriguez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Isreal Rodriguez,0,0,0,0%,Orthodox,37,Unknown,Unknown,United States
Ronald Alexander Rodriguez,0,1,0,0%,Orthodox,28,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
emmanuel rodriguez,19,1,0,54.5%,Unknown,30,Unknown,Unknown,Puerto Rico
edwin rodriguez,7,2,0,40%,Unknown,Unknown,Unknown,Unknown,Puerto Rico
Jose Rodriguez Jr,1,0,0,100%,Orthodox,Unknown,Unknown,Unknown,United States
Marcelo German Rodriguez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Daniela Ayelen Rodriguez,0,0,0,0%,Orthodox,21,Unknown,Unknown,Argentina
luis manuel rodriguez,107,13,0,40.5%,Orthodox,85,5.68 ft (1.73 m),74.02 inches (188 cm),Cuba
Emanuel Rodriguez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Daiana Rodriguez,1,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
edwin rodriguez,31,2,0,60.6%,Orthodox,37,6.00 ft (1.83 m),75.98 inches (193 cm),Dominican Republic
raul rodriguez,73,7,2,39.8%,Orthodox,106,Unknown,Unknown,Argentina
Dixon Rodriguez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Candelario Alejandro Rochin,0,0,0,0%,Orthodox,33,Unknown,Unknown,Mexico
Wanderley Rocha Marques,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Brazil
Sergio Matias Rocha,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
ernie roderick,112,24,4,32.1%,Orthodox,108,5.71 ft (1.74 m),Unknown,United Kingdom
Tomas Bautista Robledo,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
manny robles,8,1,0,44.4%,Unknown,Unknown,Unknown,Unknown,United States
Maximiliano Hernan Robledo,0,2,0,0%,Orthodox,19,Unknown,Unknown,Argentina
ray robinson,24,3,2,41.4%,Southpaw,36,5.84 ft (1.78 m),77.95 inches (198 cm),United States
Alberto Rivero,1,5,0,16.7%,Orthodox,22,Unknown,Unknown,Mexico
rudy robles,40,25,1,25.8%,Orthodox,71,Unknown,Unknown,United States
sugar ray robinson,175,19,6,54.5%,Orthodox,101,5.91 ft (1.80 m),72.44 inches (184 cm),United States
janiel rivera,12,3,2,41.2%,Unknown,30,Unknown,Unknown,Puerto Rico
lamont roach jr,19,1,1,33.3%,Unknown,27,5.58 ft (1.70 m),Unknown,United States
Michel Rivera,15,0,0,68.8%,Orthodox,24,Unknown,Unknown,Dominican Republic
jose luis rivera,18,6,0,53.8%,Orthodox,55,6.00 ft (1.83 m),72.83 inches (185 cm),United States
oscar rivas,26,1,0,66.7%,Orthodox,35,6.07 ft (1.85 m),Unknown,Colombia
david rivello,14,2,0,25%,Orthodox,59,Unknown,Unknown,United States
Lewis Ritson,18,2,0,45.5%,Orthodox,28,Unknown,Unknown,United Kingdom
jean carlos rivera,2,1,0,33.3%,Unknown,Unknown,Unknown,Unknown,Puerto Rico
Rosana Riquelme Galeano,0,1,0,0%,Orthodox,38,Unknown,Unknown,Paraguay
Nelson Edgardo Rios,1,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Brian Celso Daniel Rios,0,1,0,0%,Orthodox,28,Unknown,Unknown,Argentina
Pablo Rios,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
ronny rios,31,3,0,44.1%,Orthodox,32,5.61 ft (1.71 m),66.93 inches (170 cm),United States
Bryant Rios,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Puerto Rico
Zirolian Riku,0,0,0,0%,Orthodox,34,Unknown,Unknown,Japan
guillermo rigondeaux,20,1,0,56.5%,Southpaw,41,5.38 ft (1.64 m),66.14 inches (168 cm),Cuba
Martina Righi,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Italy
giulio rinaldi,44,16,5,19.4%,Orthodox,87,5.91 ft (1.80 m),Unknown,Italy
Lisbeth Ribera Nunez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
bandsman dick rice,26,15,2,13.6%,Orthodox,135,Unknown,Unknown,United Kingdom
ron richards,95,25,10,43.5%,Orthodox,112,5.87 ft (1.79 m),72.44 inches (184 cm),Australia
jose ribalta,38,17,1,48.2%,Orthodox,59,6.40 ft (1.95 m),79.92 inches (203 cm),Cuba
Edwin Andres Riascos,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
Ofelia del Carmen Reyes Ramirez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Itzel Guadalupe Reyes Grijalva,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Reno Bins Reyes,4,6,1,27.3%,Orthodox,Unknown,Unknown,Unknown,Peru
Tobias Jeremias Reyes,6,0,0,83.3%,Orthodox,Unknown,Unknown,Unknown,Argentina
manuel alejandro reyes,3,3,0,16.7%,Unknown,35,Unknown,Unknown,United States
Hector Andres Reyes,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Miranda Lorena Reyes,0,0,0,0%,Orthodox,21,Unknown,Unknown,United States
juan reyes,11,3,3,5.9%,Orthodox,33,5.51 ft (1.68 m),Unknown,United States
Luis Miguel Francisco Reyes,0,0,0,0%,Orthodox,22,Unknown,Unknown,Mexico
rafael reyes,15,5,0,55%,Unknown,31,Unknown,Unknown,Mexico
Cristian Tomas Renteria,0,0,0,0%,Orthodox,26,Unknown,Unknown,Mexico
jose resto,13,72,8,6.5%,Orthodox,Unknown,Unknown,Unknown,Puerto Rico
kirill relikh,23,3,0,73.1%,Orthodox,32,Unknown,Unknown,Belarus
Cristian Ariel Reggiardo,4,0,0,25%,Orthodox,27,Unknown,Unknown,Argentina
robin reid,42,8,1,56.9%,Orthodox,51,5.74 ft (1.75 m),75.98 inches (193 cm),United Kingdom
Carolyn Redmond,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Canada
eric regan,27,4,0,58.1%,Orthodox,46,6.33 ft (1.93 m),75.98 inches (193 cm),United States
jerry reddick,14,8,0,54.5%,Southpaw,Unknown,Unknown,Unknown,Canada
Maximiliano Jesus Recalde,1,3,0,25%,Orthodox,Unknown,Unknown,Unknown,Argentina
Alexis Emanuel Rebozzio,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Yeison Raveles,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
Marija Raznatovic,0,1,0,0%,Orthodox,41,Unknown,Unknown,Serbia
Isaac Clay Israel Rangel,0,1,0,0%,Orthodox,31,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Aleksandra Rapaic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
elmer ray,85,17,5,59.3%,Orthodox,111,6.17 ft (1.88 m),Unknown,United States
dave ramsden,23,16,4,14%,Southpaw,59,Unknown,Unknown,Australia
frankie randall,58,18,1,54.5%,Orthodox,60,5.68 ft (1.73 m),68.11 inches (173 cm),United States
Emanuel Ramponi,1,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Jose Ramos Savin,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Spain
Timmy Ramos,0,0,0,0%,Orthodox,30,Unknown,Unknown,United States
sugar ramos,55,7,4,60.6%,Orthodox,80,5.38 ft (1.64 m),68.11 inches (173 cm),Cuba
Carlos Javier Ramos,0,0,0,0%,Orthodox,26,Unknown,Unknown,Ecuador
Samuel Alfonso Ramos,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
abel ramos,25,3,2,63.3%,Unknown,31,Unknown,Unknown,United States
jhunriel ramonal,16,7,4,33.3%,Orthodox,33,5.51 ft (1.68 m),Unknown,Philippines
Aleksander Ramo,0,0,0,0%,Orthodox,31,Unknown,Unknown,Greece
gilberto ramirez sanchez,40,0,0,63.4%,Southpaw,31,6.20 ft (1.89 m),75.20 inches (191 cm),Mexico
Daniel Ramirez,0,0,0,0%,Orthodox,29,Unknown,Unknown,Mexico
Julio Cesar Ramirez Munoz,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Maria Guadalupe Ramirez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
eduardo ramirez,21,3,3,28.6%,Orthodox,Unknown,Unknown,Unknown,Mexico
Matias Ramon Ramirez,2,1,0,66.7%,Orthodox,29,Unknown,Unknown,Argentina
jose carlos ramirez,26,0,0,65.4%,Orthodox,30,5.84 ft (1.78 m),72.44 inches (184 cm),United States
Katie Ramirez,0,0,0,0%,Orthodox,24,Unknown,Unknown,United States
cesar ramirez,8,4,0,23.1%,Unknown,34,Unknown,Unknown,Mexico
Albert Ramon Ramirez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Walter Miguel Ramirez,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Rodrigo Sebastian Rajoy,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
shavkat rakhimov,14,0,0,73.3%,Unknown,28,Unknown,Unknown,Tajikistan
Nikoletta Rafael,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Slovakia
Milica Radosevic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
nigel rafferty,26,69,9,1%,Orthodox,54,5.91 ft (1.80 m),Unknown,United Kingdom
wesley ramey,152,28,14,5.7%,Orthodox,112,5.35 ft (1.63 m),66.93 inches (170 cm),United States
Aleksandar Radivojevic,0,0,0,0%,Orthodox,36,Unknown,Unknown,Serbia
Kwenzokuhle Qwabe,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
Eloy Enrique Rada,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Jorge Luis Quispe Rodriguez,0,2,0,0%,Orthodox,24,Unknown,Unknown,"Bolivia, Plurinational State of"
Jose Ariel Quispe,1,1,1,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Fernando Emanuel Quinteros,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Daniel Quispe,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Ramon Nicanor Quiroga,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Gisela Noelia Quintanilla,2,1,1,0%,Orthodox,34,Unknown,Unknown,Argentina
Antoni Quintero,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ecuador
renold quinlan,10,5,0,37.5%,Orthodox,33,Unknown,Unknown,Australia
scott quigg,35,3,2,65%,Orthodox,33,5.68 ft (1.73 m),Unknown,United Kingdom
peter quillin,34,2,1,59%,Orthodox,39,5.91 ft (1.80 m),72.83 inches (185 cm),United States
jason quigley,17,1,0,72.2%,Unknown,31,Unknown,Unknown,Ireland
Oscar Eduardo Quezada,0,0,0,0%,Orthodox,31,Unknown,Unknown,Mexico
Gustavo Javier Queirolo,0,0,0,0%,Orthodox,32,Unknown,Unknown,Argentina
ike quartey,38,4,1,74.4%,Orthodox,52,5.61 ft (1.71 m),70.87 inches (180 cm),Ghana
noel quarless,19,12,0,35.5%,Orthodox,59,6.33 ft (1.93 m),Unknown,United Kingdom
dwight muhammad qawi,41,11,1,47.2%,Orthodox,69,5.45 ft (1.66 m),70.87 inches (180 cm),United States
ross puritty,31,20,3,50%,Orthodox,55,6.27 ft (1.91 m),79.92 inches (203 cm),United States
richard pumicpic,20,8,2,20%,Orthodox,32,Unknown,Unknown,Philippines
Alberto Puello Calderon,0,0,0,0%,Orthodox,28,Unknown,Unknown,Dominican Republic
Marcelo Puebla,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Leonardo Pucheta,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
aaron pryor,39,1,0,87.5%,Orthodox,66,5.51 ft (1.68 m),68.90 inches (175 cm),United States
alando pugh,1,2,1,20%,Unknown,39,Unknown,Unknown,United States
adolph pruitt,44,12,2,51.7%,Orthodox,82,Unknown,Unknown,United States
gene pukall,18,14,2,47.1%,Orthodox,47,6.04 ft (1.84 m),Unknown,Germany
ruslan provodnikov,25,5,0,60%,Orthodox,38,5.51 ft (1.68 m),66.14 inches (168 cm),Russian Federation
kubrat pulev,28,2,0,46.7%,Orthodox,41,6.36 ft (1.94 m),Unknown,Bulgaria
regis prograis,24,1,0,76.9%,Southpaw,33,5.68 ft (1.73 m),Unknown,United States
pat prisco,19,7,1,18.5%,Orthodox,59,Unknown,Unknown,United States
david price,23,7,0,63.3%,Orthodox,39,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom
Ivan Daniel Presas,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
dilan prasovic,4,0,0,75%,Unknown,Unknown,Unknown,Unknown,Montenegro
Jasond Prado,0,0,1,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
nikolay potapov,19,1,1,40.9%,Orthodox,32,5.41 ft (1.65 m),Unknown,Russian Federation
viktor postol,31,3,0,35.3%,Orthodox,38,5.91 ft (1.80 m),Unknown,Ukraine
alexander povetkin,36,2,1,62.5%,Orthodox,42,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation
Karol Pospiech,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
Jeremias Gabriel Posse Orozco,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Jesus Antonio Porto,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
jack portney,100,21,6,19.5%,Southpaw,113,5.41 ft (1.65 m),Unknown,United States
Vicente Portillo Diaz,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Aldri Alexander Portillo,0,1,0,0%,Orthodox,23,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
shawn porter,30,3,1,48.6%,Orthodox,34,5.58 ft (1.70 m),69.69 inches (177 cm),United States
Luis Valentin Portalatin,0,0,0,0%,Orthodox,25,Unknown,Unknown,Puerto Rico
Jose Angel Posada,0,1,0,0%,Orthodox,31,Unknown,Unknown,Argentina
Nemanja Ponorac,0,0,0,0%,Orthodox,22,Unknown,Unknown,Bosnia and Herzegovina
Misael Ponce Galaz,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Marina Popova,5,2,0,0%,Orthodox,Unknown,5.71 ft (1.74 m),Unknown,Russian Federation
Jeremias Nicolas Ponce,29,0,0,65.5%,Orthodox,26,Unknown,Unknown,Argentina
Rohan Polanco,5,0,0,40%,Orthodox,23,Unknown,Unknown,Dominican Republic
Piotr Podlucki,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
Yeison Pineros,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
enrique pinder,35,7,2,29.5%,Orthodox,75,5.54 ft (1.69 m),Unknown,Panama
Ismael Pineda,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
yolande pompey,38,12,5,47.3%,Orthodox,93,Unknown,Unknown,Trinidad and Tobago
michael angelo plania,2,1,0,0%,Orthodox,25,5.45 ft (1.66 m),Unknown,Philippines
Victoire Piteau,1,0,0,100%,Orthodox,Unknown,Unknown,Unknown,France
Flora Pili,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,France
Arianne Goyette Pigeon,0,0,0,0%,Orthodox,36,Unknown,Unknown,Canada
Adriana Soledad Piedale,0,0,0,0%,Orthodox,29,Unknown,Unknown,Argentina
Salvador Piccolo,3,0,0,33.3%,Orthodox,28,Unknown,Unknown,Argentina
Elijah Pierce,0,0,0,0%,Orthodox,25,Unknown,Unknown,United States
michele piccirillo,50,5,0,51.8%,Orthodox,52,5.87 ft (1.79 m),71.26 inches (181 cm),Italy
Katelynn Phelan,5,0,0,20%,Orthodox,22,Unknown,Unknown,Ireland
verno phillips,42,11,1,38.2%,Orthodox,52,5.61 ft (1.71 m),68.90 inches (175 cm),United States
vince phillips,48,12,1,55.7%,Orthodox,59,5.61 ft (1.71 m),70.08 inches (178 cm),United States
Milan Petrovic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Croatia
Ognjen Petrovic,0,0,0,0%,Orthodox,20,Unknown,Unknown,Serbia
kostas petrou,30,7,0,32.4%,Orthodox,63,5.68 ft (1.73 m),Unknown,United Kingdom
billy petrolle,123,26,15,40%,Orthodox,117,5.58 ft (1.70 m),70.08 inches (178 cm),United States
lamont peterson,35,5,1,41.5%,Orthodox,38,5.74 ft (1.75 m),72.05 inches (183 cm),United States
Priscilla Peterle,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,France
miodrag perunovic,22,6,2,23.3%,Orthodox,64,5.87 ft (1.79 m),Unknown,Montenegro
samuel peter,37,9,0,65.2%,Orthodox,41,6.17 ft (1.88 m),77.17 inches (196 cm),Nigeria
Ignacio Perrin,6,4,1,9.1%,Orthodox,37,Unknown,Unknown,Argentina
Lenier Eunice Pero,4,0,0,75%,Orthodox,29,Unknown,Unknown,Cuba
bryant perrella,17,3,0,70%,Unknown,33,Unknown,Unknown,United States
eddie perkins,75,20,2,21.4%,Orthodox,85,5.41 ft (1.65 m),68.11 inches (173 cm),United States
Vladimir Peric,0,0,0,0%,Orthodox,29,Unknown,Unknown,Serbia
Scott Perhach,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Cristian Gonzalo Perez Soto,0,1,0,0%,Orthodox,33,Unknown,Unknown,Argentina
Orlando Perez Zapata,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Dominican Republic
Anahi Perez Soriano,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Bayardp^o Perez Mendez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Luis Maximiliano Perez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
mike perez,24,3,1,51.7%,Southpaw,36,6.07 ft (1.85 m),Unknown,Cuba
Deiker Perez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Lucia Noelia Perez,1,0,0,100%,Orthodox,30,Unknown,Unknown,Argentina
Josber Alexander Perez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Yamil Enrique Perez,0,0,0,0%,Orthodox,24,Unknown,Unknown,Nicaragua
Hernan David Perez,8,5,0,23.1%,Orthodox,33,Unknown,Unknown,Argentina
Rosa Perez,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
uriel perez,13,5,0,66.7%,Unknown,Unknown,Unknown,Unknown,Unknown
Antonio Perez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Diego Emanuel Perello,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Roimar Perez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
Adriano Dortas Pereira Santos,0,1,0,0%,Orthodox,36,Unknown,Unknown,Brazil
Cristian Pereira,2,1,1,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Nicole Aylen Perazza,0,0,0,0%,Orthodox,22,Unknown,Unknown,Argentina
Gabriel Alexander Peralta Arevalo,3,2,0,40%,Orthodox,Unknown,Unknown,Unknown,Argentina
Juan Peralta,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Wester Junior Peralta,0,0,0,0%,Orthodox,24,Unknown,Unknown,Dominican Republic
Yamil Alberto Peralta,13,0,0,46.2%,Orthodox,31,6.30 ft (1.92 m),Unknown,Argentina
paul pender,40,6,2,41.7%,Orthodox,92,5.84 ft (1.78 m),72.05 inches (183 cm),United States
willie pep,229,11,1,27%,Orthodox,99,5.41 ft (1.65 m),68.11 inches (173 cm),United States
Nazareno Pena,1,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Richard Alejandro Keyberd Pena,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Crystian Peguero,0,0,0,0%,Orthodox,24,Unknown,Unknown,Puerto Rico
eusebio pedroza,41,6,1,51%,Orthodox,66,5.68 ft (1.73 m),68.50 inches (174 cm),Panama
Carlos Pech,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
jose carlos paz,23,11,1,37.1%,Orthodox,31,Unknown,Unknown,Argentina
jose pedraza,28,3,0,41.9%,Orthodox,33,5.74 ft (1.75 m),Unknown,Puerto Rico
Cristian Alejandro Pavon,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
juan carlos payano,21,3,0,37.5%,Southpaw,38,5.41 ft (1.65 m),64.57 inches (164 cm),Dominican Republic
kelly pavlik,40,2,0,81%,Orthodox,40,6.20 ft (1.89 m),75.20 inches (191 cm),United States
Jaica Pavilus,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Haiti
larry paul,30,9,1,40%,Orthodox,70,Unknown,Unknown,United Kingdom
floyd patterson,55,8,1,62.5%,Orthodox,87,6.00 ft (1.83 m),70.87 inches (180 cm),United States
francesco patera,21,3,0,28%,Unknown,29,Unknown,Unknown,Belgium
Yahir Patino,0,0,0,0%,Orthodox,28,Unknown,Unknown,Mexico
vic patrick,52,4,1,78.9%,Southpaw,102,5.58 ft (1.70 m),68.11 inches (173 cm),Australia
willie pastrano,62,13,8,16.9%,Orthodox,86,5.84 ft (1.78 m),72.05 inches (183 cm),United States
Milton Ivan Pasquini,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Joana Pastrana,15,3,0,26.3%,Orthodox,31,Unknown,Unknown,Spain
bob pastor,53,7,5,26.2%,Orthodox,108,5.97 ft (1.82 m),Unknown,United States
Quentin Pasi,0,0,0,0%,Orthodox,29,Unknown,Unknown,France
jean pascal,35,6,1,46.5%,Orthodox,39,5.87 ft (1.79 m),72.05 inches (183 cm),Canada
ron pasek,12,20,3,20%,Orthodox,57,Unknown,Unknown,Canada
vic pasillas,11,0,0,36.4%,Southpaw,30,5.41 ft (1.65 m),64.96 inches (165 cm),United States
Ivan Parra,0,0,0,0%,Orthodox,23,Unknown,Unknown,Mexico
robert parzeczewski,24,1,0,59.3%,Orthodox,Unknown,Unknown,Unknown,Poland
Liam Paro,13,0,0,76.9%,Orthodox,Unknown,Unknown,Unknown,Australia
joseph parker,27,2,0,72.4%,Orthodox,30,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand
Elias Emanuel Paredes,6,2,0,25%,Orthodox,27,Unknown,Unknown,Argentina
laszlo papp,27,0,2,51.7%,Southpaw,96,5.41 ft (1.65 m),Unknown,Hungary
Isabelle Pare,0,0,0,0%,Orthodox,38,Unknown,Unknown,France
Aleksei Papin,12,1,0,84.6%,Orthodox,34,Unknown,Unknown,Russian Federation
augie pantellas,28,6,0,58.8%,Orthodox,78,5.41 ft (1.65 m),Unknown,United States
Ezequiel Palaversic,5,1,0,33.3%,Orthodox,23,Unknown,Unknown,Argentina
ambrose palmer,57,7,2,34.8%,Orthodox,110,5.87 ft (1.79 m),72.44 inches (184 cm),Australia
little pancho,103,18,26,12.8%,Orthodox,110,5.28 ft (1.61 m),Unknown,Philippines
Nicolas Luis Alejandro Palavecino,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Alfonso Enrique Palacios,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
Harry Painter,12,16,0,10.7%,Orthodox,93,Unknown,Unknown,United Kingdom
ruben dario palacios,45,11,2,32.8%,Orthodox,59,Unknown,Unknown,Colombia
Laura Rose Pain,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United Kingdom
greg page,58,17,1,63.2%,Orthodox,63,6.17 ft (1.88 m),81.10 inches (206 cm),United States
zack page,21,44,2,10.4%,Orthodox,49,6.00 ft (1.83 m),Unknown,United States
Nicolas Emiliano Padros,0,0,0,0%,Orthodox,26,Unknown,Unknown,Argentina
Jean Carlos Paez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
albert pagara,33,1,0,70.6%,Orthodox,28,5.51 ft (1.68 m),Unknown,Philippines
jorge paez,80,12,5,53.1%,Orthodox,56,5.41 ft (1.65 m),68.11 inches (173 cm),Mexico
manny pacquiao,62,7,2,54.9%,Southpaw,43,5.54 ft (1.69 m),66.93 inches (170 cm),Philippines
Naiara Tatiana Pacheco,1,1,1,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Norberto Orlando Oyola,0,4,1,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Ridwan Oyekola,0,0,0,0%,Orthodox,25,Unknown,Unknown,Nigeria
Anthony Lamar Overby,0,0,0,0%,Orthodox,35,Unknown,Unknown,United States
ken overlin,135,19,9,13.9%,Orthodox,112,5.74 ft (1.75 m),70.08 inches (178 cm),United States
nordine oubaali,17,0,0,63.2%,Southpaw,36,5.35 ft (1.63 m),Unknown,France
Alvaro Luis Ospino,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
sven ottke,34,0,0,17.6%,Orthodox,55,5.84 ft (1.78 m),68.90 inches (175 cm),Germany
hussain osman,14,17,0,19.4%,Orthodox,49,5.81 ft (1.77 m),Unknown,Syrian Arab Republic
Beau Thomas Osborne,0,0,0,0%,Orthodox,32,Unknown,Unknown,United States
Jhimy Ortuno Garcia,0,1,0,0%,Orthodox,39,Unknown,Unknown,"Bolivia, Plurinational State of"
Vergil Ortiz Jr,3,0,0,100%,Orthodox,24,5.84 ft (1.78 m),70.08 inches (178 cm),United States
luis ortiz,31,2,0,72.2%,Orthodox,43,6.33 ft (1.93 m),83.86 inches (213 cm),Cuba
