"","Overall Place","Elapsed Time","Team Name","Category","Last Finish","Div Place","Team Members"
"130",130,"8:14:04","Mas Margaritas","Recreational Open","Kayak",30,"Adeline Honnas, Denise Mann, Pete Keyes, Brett Cates, Scott Rick, Brian Rimmer, Mike Bakko, Ivar Hildahl,"
"131",131,"8:14:27","Norris's Disciples","Recreational Open","Kayak",31,"Joe Mathias, Ty Paine, Blane Webber, Justin White, Mark Bouma, Aaron Barlond, John Edgerly, Steve Rybolt,"
"132",132,"8:14:30","Car Free Wobbly Wheelers","Recreational Open","Kayak",32,"Tyler Rourke, Cliff Palmer, Ryan Rourke, Kelly Antoncich, Ryan Rickerts, Madeline Engel, Peter Horne, Madison Miner,"
"133",133,"8:15:13","ForestEthics","Recreational Open","Kayak",33,"Valerie Langer, Matt Westendorf, Mike Grummel, Jim Ace, Tanja Wilcox, Brady Davis, Joe Scott, Todd Paglia,"
"134",134,"8:15:14","A to Z Composites","Competitive Open","Kayak",42,"Tanner Antila, Chol Lee, Caleb Hooser, Ken Santman, Dave Rohde, Andy Stephen, James Santman, Tanner Larsen,"
"135",135,"8:16:11","Average Jeos","Recreational Mixed","Kayak",9,"Ronnie Drever, Michael Palmer, David Rolph, Devon Duncan, Eve Witten, Aaron Drew, Richard Jeo, Gabrielle Kissinger,"
"136",136,"8:16:12","UC Denver PT and Friends","Competitive Open","Kayak",43,"Paige Feichtinger, Jordan Allison, Dale Feichtinger, Aaron Leonard, John Furtado, Alex Muffuccio, Mitchell Luce, Eric Feichtinger,"
"137",137,"8:16:24","Team Jogo Crossfit","Whatcom County Mixed","Kayak",3,"Misty Nikula, Mike Etnier, Kerri Love, Alexis Harper, Elizabeth Ruff, Tyler Schroeder, Luke Hovee, David Pringle,"
"138",138,"8:16:38","Man, Are We Gettin' Old","Competitive Open","Kayak",44,"Terri Plake, Gary Smith, Bob Snyder, Randy Frank, Marc Costanza, Peter Krautwald, Jeff Grebe, Bill Hasenjaeger,"
"139",139,"8:17:37","The Purple Cobras","Recreational Open","Kayak",34,"Chris White, Marnie White, James Wells, Monica Cripe, Jeff Walker, Oscar Lillienthal, Bill Cheney, Martin Dubek,"
"140",140,"8:17:59","After Their Leg","Recreational Open","Kayak",35,"Patrick Finerty, Tim Mulligan, Kevin Finerty, Kwangun Lim, Daniel Griner, Bret Lyon, Mike Jacobson, Dave Griner,"
"141",141,"8:18:18","Janicki Open","Competitive Open","Kayak",45,"Justin Bilodeau, Rebecca Fakkema, Chris Jamieson, Sophia Taxdahl, Colby Allen, Austin Williamson, Jon Curtis, Mike Conboy,"
"142",142,"8:18:25","Sweaty In All The Wrong Places","Recreational Mixed","Kayak",10,"Chris Comeau, Blanche Bybee, Ben Schafer, Angela Hayes, Anna Senner, Sadie Kalstad, Nick Hayes, Chris Roselli,"
"143",143,"8:18:26","Team Shanks","Competitive Open","Kayak",46,"Colin Zalewski, Colten Davenport, Tim Scheumann, Trevor Oetgen, Michael Shelton, Ken Cisco, Dan Shelton, Kellen Oetgen,"
"144",144,"8:18:31","Floundering Salmon","Competitive Mixed","Kayak",4,"Liz Marzolf, Kim Bernier, Halsey Bell, Cory Sbarbaro, Victor Yagi, Jody Kennedy, Liz Gorton, Raphe Bernier,"
"145",144,"8:18:31","Full Nelson","Family","Kayak",3,"lauren bauman, Blair Nelson, jamie bauman, sander Nelson, elaine babby, emily brew, Miel Nelson, Brent Nelson,"
"146",146,"8:18:36","The Fronsmen","Competitive Open","Kayak",47,"Justin Tran, Peter Vigh, Dustin Richmond, Michael Binder, Nicholas Roehner, Ryan Johnson, Anton Ypma, Nick Omta,"
"147",147,"8:18:44","Rowers- Retired and Expired","Recreational Women","Kayak",3,"Amelia Whitcomb, Julia Munger, Gina Auriemma, Erin Bean, Audrey Coon, Maddie Eckmann, Nolan Winger, Caylen Beaty,"
"148",148,"8:19:04","Tumwater Shadies","Recreational Mixed","Kayak",11,"Adam Stocks, Mary Rabourn, James Poelker, Hollie Myhr, Gregor Myhr, Kris Stocks, Greg Rabourn, Theresa Nation,"
"149",149,"8:19:20","HAMSTERDAM","Recreational Open","Kayak",36,"Andrew Hafzalla, Brett Callaghan, Jonah Stinson, Mike Peffer, Andy Christman, Matt Currey, Scott Pelton, Nick Hartrich,"
"150",150,"8:19:21","Oceans North","Recreational Open","Kayak",37,"Emily Highleyman, Scott Highleyman, Charles Magraw, Katie Delahunt, Mark Toney, David Henry, Adam Kaufman, Jeremy Davies,"
"151",151,"8:19:32","Tri-Lambs","Recreational Open","Kayak",38,"Jason Pearson, Mike Miller, Josh Fountain, Lance Hayashi, Mike Weatherbie, Jeff Lynass, Ron Johnston, Dave Zerbst,"
"152",152,"8:19:35","Heath Tecna 1","Corporate","Kayak",8,"Ryan Kimball, Garth Towne, Cody Hunt, David Brudvik, Dave Anana, Scott Cooper, Gerardo Andaluz, John Diefel,"
"153",153,"8:19:53","Fairhaven Runners","Recreational Open","Kayak",39,"Damian Foran, Aaron Barber, Chad Mullavey, Dylan Wirkkala, Dustin henkin, Bryce Barber, Eddie Knick, Spencer Callero,"
"154",154,"8:19:57","Ernest and the Shackletons","Recreational Open","Kayak",40,"Sarah Fisher, Ben Kane, Joe Popelka, Claire Brouelette, Sheri Russell, John Wilkins, Keith Russell, Mike Biddick,"
"155",155,"8:20:00","Sleepy Cheetahs","Competitive Mixed","Kayak",5,"Gail Lumsden, Zephyr Wood, Jessica Hintz, Shane Reilly, Jaaron Cornish, Taylor Williams, Aubrey Rosenthal, Brandon Starrett,"
"156",156,"8:20:12","Exxel Pacific","Corporate","Kayak",9,"Geoff Stodola, Matt Stodola, Grant Gischer, Bill Bieber, Brian Slick, John Hughes, Sean Stimac, Brian Christensen,"
"157",157,"8:21:19","Whidbey Sun & Wind","Competitive Mixed","Kayak",6,"Terry Welch, Mark Varljen, NEIL Rixe, Donna Keeler, Kelly Keilwitz, Janie Keilwitz, Dan Dalmeida, Cathy Dalmeida,"
"158",158,"8:21:30","Mema's Roadtrip","Recreational Mixed","Kayak",12,"Annie Hilleary, Kim Wicklund, Michael Dyrland, Jake Hilleary, Kari Page, Maddie Page, Jim Sands, Derek Hilleary,"
"159",159,"8:21:54","Wicked Pickett","Family","Kayak",4,"Brad Pickett, Josh Pickett, John Pickett, Bre Pickett, Meagan Pickett, Adam Sanchez, Jon Pickett, Scott Pickett,"
"160",160,"8:22:38","Team Janicki Vets","Veterans","Kayak",9,"Andy Bridge, John Janicki, Dan Hockett, Michael Wright, Will Whiton, Tom Doughty, Eric Friesen, John Garland,"
"161",161,"8:22:42","McKay's Taphouse","Recreational Mixed","Kayak",13,"Josh Marshall, David Joyner, Scott Schroyer, Memo Jenkins, Hope Rietzen, Brandon Rojas, Paul Crivell, Stew Ellison,"
"162",162,"8:23:01","Odin's Army Partie Deux","Recreational Open","Kayak",41,"Richard Long, Rick Boatman, Jeff Cota, Mike Hahn, Dave Bandstra, Katie Bandstra, Raymond Weinrich, Sam Dollar,"
"163",163,"8:23:40","SUPERfeet","Corporate","Kayak",10,"Brian Mastrofino, Matt Loomis, Tiffany Allen, Matt Gooch, Kevin Spears, Evan Keating, Dan Wakeland, Sean Nieves,"
"164",164,"8:24:25","San Juan Cruises","Recreational Open","Kayak",42,"Ken Schneider, Chelan Schneider, Rick Jacoby, Albert Howard, Billy Miles, Shelby Miles, Mick matheson, gabe jacoby,"
"165",165,"8:25:25","Surfrider","Recreational Mixed","Kayak",14,"Thomas Peal, Lucas Nardella, Eleanor Hines, Jeff Briggs, Kelsey Rowley, Colin Riordan, Kevin Olney, Oskar Kollen,"
"166",166,"8:25:31","Team Glory","Whatcom County Open","Kayak",11,"Rolf Haugen, Kyle Haugen, Travis VanKooten, Bob Marvel, Brandon Rutledge, Kyle Larsen, Mark Rutledge, Shane Wise,"
"167",167,"8:26:03","Peak 7 - Glorious Adventure","Recreational Open","Kayak",43,"Joel Werdell, Vince Cotroneo, Rick Benson, Dave Anderson, Sadie Lowe, Brandon Lowe, Craig Kerr, Ryan Miller,"
"168",168,"8:26:29","Bearcat Leg Power","Recreational Open","Kayak",44,"Byron Spence, Reid Johnsen, Paul Porte, Robin Shropshire, Annika McIntosh, Cisco Sabin, Jesse Williams, Kai Breshem,"
"169",169,"8:26:32","Boats and Hose","Competitive Open","Kayak",48,"Kari Falk, Jeremy Link, Mike Willy, Collin Murphy, Aaron Hagenbuch, David Hagenbuch, Andy Millard, Bryan Copeland,"
"170",170,"8:27:21","Peach","Recreational Mixed","Kayak",15,"russell morrison, Matthew Greenwood, Sean Peach, ceilidh beck, Nick Lyne, erik schmidt, Cam Matches, claude dery,"
"171",171,"8:27:26","Burning Bunions","Recreational Open","Kayak",45,"Russell Patterson, Kevin Kane, Bob Coyne, Meg Coyne, Kurt Sahl, Kevin Caldwell, Ken Gross, Andrew Sahl,"
"172",172,"8:27:30","River Rats","Corporate","Kayak",11,"Mark Mastin, Jeffrey Paulat, Chad Opatz, Joe Gilbert, Christopher Curran, Gary Barton, John Buursma, Andrew Spanjer,"
"173",173,"8:28:34","Off Constantly","Recreational Open","Kayak",46,"Travis Janeway, Ian Hazleton, Allison Snow, James Barker, Laura Reed, Trevor LeDain, Brandon Longwell, Sather Flynn,"
"174",174,"8:28:48","For the Halibut","Recreational Open","Kayak",47,"Mark Johnson, Marc Fairbanks, Mike Oswald, Alli Fairbanks, Kasey Potzler, Jason Gayler, Lee Potzler, Tim Farris,"
"175",175,"8:28:49","Moss Adams","Corporate","Kayak",12,"John McDonald, Chad DeHaan, Marcus Warolin, Jen Warolin, Mary Burke, Michel Knott, Charlie Shannon, Jessaca Tesarik,"
"176",176,"8:28:59","Whatcom Seven Firefighters","Corporate","Kayak",13,"Josh Martin, Justin Iverson, Dean Crosswhite, Jared Spoelstra, John Devenere, Josh Devenere, Mike Olinger, Jeff Sluys,"
"177",177,"8:29:16","I Don't Care","Recreational Open","Kayak",48,"Barb Couvrette, Chuck Couvrette, Kevin Skolrud, John de Mars, John Degel, John Howard, Wayne Martin, Chris Holzknecht,"
"178",178,"8:29:19","Peoples Bank","Recreational Open","Kayak",49,"Troy Knutzen, Cory Ekrem, Dave Long, Jessica Poolman, Alexander Potapov, Brett Lloyd, Taylor Peterson-Foy, Lauren Squires,"
"179",179,"8:29:29","Silent Butt Deadly","Recreational Open","Kayak",50,"Jesse Bartlett, Josh Jennings, Erik Maudslien, DK Reinemer, Dallas Betz, Travis Crosbie, Yonk Reinemer, Daniel McGimpsey,"
"180",180,"8:29:59","MRSAnary Women","Recreational Women","Kayak",4,"Marisa Bamesberger, Katie Rollinger, Courtney McBean, Anna Bordner, Katie Higgins, Meggan Anderson, Audra Lee, Melissa Adair,"
"181",181,"8:30:23","What's Up Doc?","Whatcom County Mixed","Kayak",4,"Ryan Vasak, Scott Vasak, steve bloom, Shannon Billau, Joel Billau, Russell Keck, Harry Herdman, Richard Binder,"
"182",182,"8:30:33","Race by Grace Immanuel Lutheran Church","Recreational Open","Kayak",51,"Valerie Henderson, Larry Campbell, John Okan, Nathan Campbell, David Smith, Yong-Seong Lee, Andy Snow, Kari Toivola,"
"183",183,"8:31:21","Shell Thunder","Corporate","Kayak",14,"Geno Stemme, Jennifer Kirby, Charlie Herron, Ross Granfors, Sarah Hutson, Matt Jameson, Kristine Penrod, Brent Welsh,"
"184",184,"8:31:44","Team Eclectica","Recreational Open","Kayak",52,"David Puckering, Les Oliver, Jack Laird, Tim Gates, Glen DeVries, Mike Crowley, David Jones, Bob Mosher,"
"185",185,"8:31:47","Harlow's Bus Sales","Recreational Open","Kayak",53,"Tom Borst, Kristofer Gilje, Keith Fredrikson, Diana Robinson, Alice Cords, Ken Cords, Chris Quinlan, Brad Alexander,"
"186",186,"8:32:19","Dwayne Doornbosch","Corporate","Kayak",15,"Clayton Dunsmore, Don Dunsmore, Brian Dougherty, Cheyne Mackie, Logan Tacoma, Fraser McIntosh, Rebecca Alley, Rachel McNeice,"
"187",187,"8:32:33","Eat Tacos","Recreational Open","Kayak",54,"Lawrence Johnson, Loren Sweitzer, Chris Clack, Michele d'Hemecourt, Joe Gregory, Ross Mattson, Jeff Jenkins, Rob James,"
"188",188,"8:33:31","Essential Ten","High School","Kayak",4,"Connor Peasley, Anthony Moretti, Grant Goheen, Evan Patrick, Kevin BI, Derrick Baker, Dean Patrick, Stefan Rajchel,"
"189",189,"8:33:44","Team Sasquatch","Corporate","Kayak",16,"Jennifer Horwitz, Matt Woltman, David Templeton, Kristi Geris, Dana Gaffney, John Gaffney, Mark Larsen, Tracy Drury,"
"190",190,"8:33:50","SpandeXXXX","Competitive Mixed","Kayak",7,"Emily Roche, Andy Stewart, Danny Warner, Jill Jannison, Kire Dassel, Adam Gunn, Daniel Roche, Kira Morin,"
"191",191,"8:33:55","Terminators","Recreational Open","Kayak",55,"Carl Skerlong, Timothy Kononen, Jeff Shelman, Aly Howisey, Nick Ithomitis, Rion Ithomitis, Krystol Ithomitis, Tom Wills,"
"192",192,"8:34:03","Funke's Broken Ribs","Recreational Open","Kayak",56,"Tobey Clarkin, Whitney Emerson, John Gayman, Meg Gayman, Emily Rauch, Brent Wendel, Corinna Levine, Forrest Michael,"
"193",193,"8:34:27","Canuckleheads","Recreational Open","Kayak",57,"Ian Gilchrist, Ian Braby, Forston Tylor, John Henry Whyte, Bill Fleming, Mark Ortner, James Chesko, Christie Young,"
"194",194,"8:35:24","MorningWood","Whatcom County Open","Kayak",12,"Kevin Clark, Ben Roberts, Chris Vazquez, Courtney Gates, John Knies, Brian E Johnson, Matt Nelson, Jon Kamp,"
"195",195,"8:35:52","Ski to Sea Yogis","Recreational Open","Kayak",58,"Casey Mathison, Jessica Markle, Jason Lichtenberger, Aaron Poh, Lynn Stokesbary, Christopher Poh, Jasmine Greene, Heather Mills,"
"196",195,"8:35:52","Raise Hell Clean Up","Family","Kayak",5,"Marvin Johnston, Jason Johnston, Bob Johnston, Kailex Johnston, Dean Johnston, Michael Mallahan, Carl Johnston, Joseph Mallahan,"
"197",197,"8:36:11","Cargill","Recreational Open","Kayak",59,"James Dahl, Bill Janes, Matthew Butenschoen, Erin O'mara, Mike Dolan, Brad Pitalo, Alicia Stoeckl, Gary Pickering,"
"198",198,"8:36:19","Emerald City Transplants","Recreational Open","Kayak",60,"Eric Phillips, Linh Lo, Andrew Sheridan, Rebecca Sheridan, Erica Hann, John Hoffman, Lindsay Urquhart, Nicholas Cilluffo,"
"199",199,"8:36:22","Gates of Hell","Competitive Open","Kayak",49,"Karen Lowry Miller, Erik Iverson, Charles Gardiner, Damian Walker, Hannah Kettler, David Shoultz, Doug Holtzman, Neil McDonnell,"
"200",200,"8:37:26","E-Gads, It's Ershigs","Corporate","Kayak",17,"Joel Jorgensen, Kevin Smeall, Andy Springer, Brett Fedorczyk, Ted Radke, Zach Guay, Rick Holmes, Michael Merrick,"
"201",201,"8:37:37","In The Doghouse","Whatcom County Open","Kayak",13,"Erica Kline, Ann Cline, Tom Hull, Shannon Rembert, Jeff Kline, Robby Wasserman, David Rehm, Ingemar Franzen,"
"202",202,"8:38:19","Mills Electric Shockers","Recreational Mixed","Kayak",16,"JACOB FERRY, Andrew Ferry, Bunny Finch, Marcus Parkins, Derek Geer, Dustin Sasken, Dan Stimac, Bob Cofer,"
"203",203,"8:38:29","Cloud Mountain Farm Center","Whatcom County Open","Kayak",14,"Anna Martin, Geoffe Martin, Richard Burkhart, Angela DeVries, Chris Testa, Dave Maczuga, georgia mitchell, Zoie Gaidos,"
"204",204,"8:38:41","Seven Broken Legs","Recreational Mixed","Kayak",17,"Anne Garrett, Brad Martin, Jeff Hardesty, Loren Louzao, Tessa Greegor, Chris Louzao, Sean Keithly, Allison Hardesty,"
"205",205,"8:39:06","Josh's Hammer","Recreational Mixed","Kayak",18,"Brian Mason, Adam Winquist, Todd Mason, Jared Bryant, Josh Johnsen, Blake Johnsen, Amy MacFadyen, Scott Rathjen,"
"206",206,"8:39:30","Team Bear Attack","Recreational Open","Kayak",61,"Thomas Evenson, KC Embrey, Kristen Urdahl, Joe Wehmeyer, Sue Clark, Andrew Leisner, Noah Shay, Justin Scott,"
"207",207,"8:40:13","Pioneer Post Frame, Inc.","Whatcom County Open","Kayak",15,"Daniel Benner, Joel Heil, Derrik Sanford, Bryan Bos, Brad Duronso, Alia Hiller, Paul Coulter, Aaron Kuhaulua,"
"208",208,"8:41:12","Jetsam","Recreational Open","Kayak",62,"Tudor Whiteley, Dawn Trussell, Fred Hines, Kate Wearn, Tom Dorr, Scott Kindred, Kathy Reitinger, Ernie MacQuarrie,"
"209",209,"8:41:18","There's got to be a better way! (tm)","Recreational Open","Kayak",63,"John Monahan, Gabe Ng, Susan Arrigoni, Jennifer Hutchinson, Fiona McNair, Tom Hastings, J. Gordon, Sean Cool,"
"210",210,"8:41:29","Extremely Rad Chicks","Recreational Women","Kayak",5,"Heather Shepherd, Bianca Gordon, Kris Neal, Nancy Fedoruk, Karen Fedoruk, Bethany Allen, Ashlea Shepherd-Rosinski, Nikki Smith,"
"211",211,"8:41:33","DOWS Inc.","Competitive Open","Kayak",50,"Patrick Zemel, Ari Adelstein, Ryan Sternagel, Christain Beaty, Stephen Heimburger, Brian Burke, adam summer, Alex Carter,"
"212",212,"8:41:35","Alpha Dogs","Corporate","Kayak",18,"Anthony Munn, Tony Johnson, John Highet, Lyle Myers, Brandon Witman, Jonathan Carpenter, Greg Laughlin, Ryan Roy,"
"213",213,"8:42:29","Team Next Adventure","Corporate","Kayak",19,"Rochelle Comeaux, Troy Leedy, Ian Friderich, Sam Beck, Don Eaton, Chris Benelli, Wrenna Keller, Andrew Sullivan,"
"214",214,"8:42:49","UDDERchaos","Whatcom County Mixed","Kayak",5,"Julie Fix, Emily Hirsch, Corina Cheever, Joshua Heintz, Charles Zins, Chase Carter, Kat DeCastro, Joel Carter,"
"215",215,"8:42:52","Return of the Mountain Beavers","Whatcom County Open","Kayak",16,"Matt Boyd, Christina Boyd, Karl Thoene, Lane Meyer, Kristi Harting, Adam Niemur, Mark Harting, Dave Albers,"
"216",216,"8:43:36","Slower and Wiser","Veterans","Kayak",10,"David Rostykus, Barbara Lipscomb, Al Warman, Walt Rostykus, Don Brooks, Lance Lipscomb, David Berg, Brian Rick,"
"217",217,"8:44:20","Hot Wheels","Competitive Open","Kayak",51,"Patrick Kern, John Clifford, Jenn Wells, Genevieve Williams, Carrie Whitaker Hennon, Jamie Reiner, Joe Kaftan, Jesse Thomaselli,"
"218",218,"8:44:34","Gang Green","Corporate","Kayak",20,"Sean Crawford, Jet Mills, Philip Olson, Jeffery Shaffer, John Sterling, Clinton Jackson, Chris McDonell, Christopher Smith,"
"219",219,"8:44:42","Team Whidbey Coffee","Recreational Open","Kayak",64,"John Burks, Mark Willstatter, Brian Wood, Mike Briddell, Susan Briddell, Kyle Bodamer, Jackie Bykonen, matt plush,"
"220",220,"8:44:46","Sturgeon Surgeons","Recreational Open","Kayak",65,"Oliver Max, Kira Taylor, Todd Mitchell, Eli Loomis, Sonja Max, Matt Ozgercin, Kim Voros, Dan Heimbigner,"
"221",221,"8:45:15","Vancouver Vikings","Recreational Open","Kayak",66,"Michelle Perau, Eileen Deery, Jean-Philippe Delage, Dave VanderBoom, Stewart Lockwood, Justin Mattioli, Harm Neutel, Barry Edmondson,"
"222",222,"8:45:17","Lubricators","Corporate","Kayak",21,"Richard Loya, Kayla Ohlsen, Karl Thomas, Carilynette Williams, Dean Watkins, Jason Sprinkle, Kevin Anderson, Kevin Hall,"
"223",223,"8:45:40","Mt Baker Vision Clinic - Sight for Sore Eyes","Recreational Open","Kayak",67,"Michael Boer, Daniel Obbink, Mark Adams, Nate Van Haitsma, Brian Koning, Mike Eekhoff, Eric Long, Aaron Bishop,"
"224",224,"8:46:10","Big Test icicles","Competitive Open","Kayak",52,"Kyle Buse, Taylor Powell, Mike Schroyer, Abraham Tobon, Greg Brown, Tony Brown, Jason Brown, Michael Schroyer,"
"225",225,"8:46:42","Painted Toenails","Recreational Mixed","Kayak",19,"Mark Thomas, Laurie Anna Kaplan, Sidney Anderson, Neal Saxe, Mary Latta, Trevor Pitsch, Kara Merfeld, Jim Merfeld,"
"226",226,"8:46:45","on your left","Recreational Women","Kayak",6,"Elya Moore, Elizabeth Otten, Christa Moore, Laura Fox, Nicole Beaty, Raegan Brown, Mindy Collins, Amber Itle,"
"227",227,"8:46:53","Funke's Bruised Ribs","Recreational Open","Kayak",68,"Eric Hirst, Susan Hirst, Soren Flexner, Dana Wolf, Julie Cassata, Matt Logalbo, James Metz, Ralph Havens,"
"228",228,"8:47:05","AM-BITCH-OUS","Recreational Women","Kayak",7,"Robin Koolen, Kim Reeves, Jo Burleigh, Denise Dierich, Vicki Hsueh, Stormy Medler, Raina Clark, Jill Jacoby,"
"229",229,"8:47:23","Team Johnny 2","Family","Kayak",6,"Jamey Aubert, Dean Jackson, Ryan Burge, Kelsi Jackson, Steve Loeppky, Gavin Mumford, Nick Beard, George Loeppky,"
"230",230,"8:47:41","Quattro","Recreational Mixed","Kayak",20,"Pam Sankey, Eric Sankey, Colin Sankey, Diane Sankey, kim martinez, Jessica Sankey, Chris Spilker, Forrest Karr,"
"231",231,"8:47:44","Neiner Neiner Women","Competitive Women","Kayak",4,"sarah gustafson, Cortney Mills, Jody Avia, Natalie Rasmussen, Kristen Fielding, Meghan Meinerz, Elizabeth Snyder, Robin Secrist,"
"232",232,"8:48:16","Crowd of Cynics","Recreational Open","Kayak",69,"Steve Harrison, Al Vetrovs, Michael Hallett, Diana Comfort, Ginny Broadhurst, Sue Rodgers, Brad McCarrell, Charles Sauvageau,"
"233",233,"8:48:18","Unknown","High School","Kayak",5,"Nathan Dunford, Kyle Lukacovic, William Morgan, Matthew Dunford, Dillon Quintana, Ethan Evans, Hunter Grunhurd, Blaise Black,"
"234",234,"8:49:00","Fresh Off The Couch","Recreational Mixed","Kayak",21,"Jeannine Shaw, Scott Hewson, Greg Stephens, Bert Huelmann, Shelly Nance, Stephanie Moore, Anne Baxter, Ben Riedesel,"
"235",235,"8:49:14","War Ponies","Recreational Mixed","Kayak",22,"Geoffrey Thilo, Chris Gibbens, Ariel Turner, Megan Hall, Emily Betts, Molly Gibbens, Jon Fujiwara, Shalin Turner,"
"236",236,"8:49:37","Marky Mark and 7 Older Guys","High School","Kayak",6,"Chris Archer, Alex Engel, Taylor Beck, Westin Mackenzie, Mark Luciano, Dylan Boisoneau, Eric Sherman, Peter Luciano,"
"237",237,"8:49:40","Team Johnny 1","Family","Kayak",7,"Mike Baker, Fraser Baker, Gus Gustafson, Natalie Gustafson, Sally Beard, Sam Mumford, Derek Gustafson, Jeremy Leech,"
"238",238,"8:50:21","Wanderlust - Men","Recreational Open","Kayak",70,"Drew Thompson, Clint Hass, Foster King, Cody Cowley, Erik Holden, Jonas Bakkane, Chase Abbott, Chad Day,"
"239",239,"8:51:01","W.D.F.A.","Recreational Open","Kayak",71,"Nate Feltner, Daniel Stringer, John Feltner, Nick Anderson, Sean Waite, Jeffrey Mallahan, Peter Mallahan, Luke Simmons,"
"240",240,"8:51:08","""West Coast Wraith""","Recreational Open","Kayak",72,"Jeff Tindall, Jay Lewis, Spencer Kocan, Tyson Lin, Don Pocus, Giancarlo Gacad, Mike Vercammen, Kyle Williams,"
"241",241,"8:51:31","Bupid Puppies","Recreational Open","Kayak",73,"Keith Busch, Chuck Paglialunga, Bill Coats, Pat Murphy, John Wilfong, Rafe Ohtake, Sarah Muszynski, Doug Hyldahl,"
"242",242,"8:52:10","Team OMG!","Recreational Open","Kayak",74,"Kit Vonnegut, Wayne Vogel, Sandy Brewer-Phillips, Brian Kingsberry, Kent Robarge, Russ Tuurie, Rick Collier, Paul Leeson,"
"243",243,"8:52:15","The Real Housewives of Whatcom County","Recreational Women","Kayak",8,"Lisa Swanson, Nikki Lockhart, Jessica Rogers, Andrea Cunningham, Trena Carpenter, Annie Kiesau, Margaret Langford, Anne Rasmussen,"
"244",244,"8:52:27","Murray's Fury","Recreational Open","Kayak",75,"David Chou, Ruben Conner, Ian Bolliger, Jake Marcus, Kate Lofgren, Spencer James, Thomas Roberts, Peter Serina,"
"245",245,"8:53:33","Mongrels","Competitive Open","Kayak",53,"Josh Mouser, Jesse Grantham, Roger Stukey, Quinn Mouser, Brendan Grant, Jennifer Achilles, Jim LeCuyer, Joel LeCuyer,"
"246",246,"8:53:39","Kevin LaFleur Memorial Team JV","Recreational Open","Kayak",76,"Tobias Person, Gabriel Hoy, Joey Libolt, David Malda, Eric Davishahl, Anthony Apodaca, Joel Hollander, Troy Terpstra,"
"247",247,"8:54:53","Skagit Valley College","Recreational Open","Kayak",77,"Charles Luckmann, James Walters, Steve Radeleff, Brian Hanchett, Jennifer McFarland, Kaden McFarland, George Biehl, Sean Howard,"
"248",248,"8:55:24","Brit. line for Vietnamese soup","Recreational Open","Kayak",78,"Barney Smith, Matt Beres, Brad Burdick, Vance Much, Erin Rehm, Cynthia Much, Mike Massey, Gregory Rehm,"
"249",249,"8:55:32","DEAFinately Awesome","Recreational Open","Kayak",79,"Sara Weiner-Collier, Corky Collier, Lindsay Buchko, Guthrie Nutter, Kevin Meirose, Jason Tang, Andy Nelson, Carly Armour,"
"250",250,"8:55:56","Bio Bug","Recreational Open","Kayak",80,"Chris King, Daniel Potter, Steve Cornwell, Cheri Mcfall, Amy Blackburn, Eric Moldver, Jennifer Moldver, Derek Barnard,"
"251",251,"8:56:02","Be Local Bee Team","Recreational Mixed","Kayak",23,"Amanda Sipher, Travis Sipher, Mariah Ross, Emily Kubiak, Tim O'Donnell, Derek Long, David Dean, Craig Stephens,"
"252",252,"8:56:28","Creative Mom Toys","Competitive Open","Kayak",54,"Eugene Saburi, Yevgeny Mikhaylov, John Jody DeCuire, Cheri Saburi, Ben Dietz, Julie DeCuire, Steve Jones, Josh Lipsky,"
"253",253,"8:56:39","The Orphans","Recreational Women","Kayak",9,"Wendy Choat, Nancy Clark, Leslie McCullough, Claire Leischner, Kim Lund, Wendy Blum, Rosemary Henry, Elizabeth Salvo,"
"254",254,"8:56:47","con mi papa","Whatcom County Mixed","Kayak",6,"Gordon Neufeld, Gabrielle Neufeld, brett bauer, Katie Bauer, steven smith, Madison Smith, evan ritchie, allegra ritchie,"
"255",255,"8:57:49","12 year old moustache","Recreational Open","Kayak",81,"Ian Ferguson, Josh Turrell, Michael Goodman, Karl Buck, Michael Sampson, Jackson Engels, Craig Ferguson, Scot Gause,"
"256",256,"8:58:38","Half and Half","Competitive Mixed","Kayak",8,"Marina Khrisanova, Anna Parkhomenka, Victor Okunev, Kirill Melnikov, Andrey Revyakin, Dmitry Khrisanov, Elena Khrisanova, Yaroslava Polosina,"
"257",257,"8:58:50","Acht du Lieber!","Recreational Open","Kayak",82,"Tony Case, Elise Hale-Case, Leif Swanson, Alison Allen, Jaromir Lahulek, Amber Chambers, Christopher Navarre, Seth Navarre,"
"258",258,"8:58:59","""I want my two dollars!""","Recreational Mixed","Kayak",24,"Hilary Doherty, Lindsey Ghorbani, JC Clementz, Heather Lane, Jason Ghorbani, Wesley Bergquist, Neil Doherty, Eli Reddell,"
"259",259,"8:59:04","Team Awesome","Recreational Open","Kayak",83,"Scott Davis-Fisch, Cody Arnold, Aja Philp, Ben Scott, Meghan Stewart, Erik Ingram, Steph Ingram, Brian Onofrichuk,"
"260",260,"8:59:39","Mannschaft von Lorenz","Family","Kayak",8,"Margo Lawrence, Stephen Lawrence, Audrey Lawrence, Mike Lawrence, Sarah Lawrence, Patrick Lawrence, Geoff Lawrence, Nate Lawrence,"
"261",261,"8:59:40","ET and the Thriller Zombies","Recreational Open","Kayak",84,"Kate Kurtz, Rodney Taylor, Jana Dilley, Paul Fischer, Chris Holstrom, Ethan Todras-Whitehill, Gretchen Glaub, Jacob Sheppard,"
