Name,Position,Age,"Birthdate
",Height,Weight,Height (ft/in),"Weight
st/lb",Contract,Length,Team 
Javan SEBASTIAN,Prop,30 y/o,27/09/1994,1.77 m,125 kg,5 ft 10 in,19 st 9.58 lb; 275.58 lb,PRO,2025,edinburgh
Paul HILL,Prop,30 y/o,02/03/1995,1.89 m,123 kg,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2026,edinburgh
Pierre SCHOEMAN,Prop,31 y/o,07/05/1994,1.84 m,118 kg,6 ft,18 st; 260.15 lb,PRO,2028,edinburgh
Robin HISLOP,Prop,33 y/o,26/02/1992,1.80 m,116 kg,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,edinburgh
Dave CHERRY,Hooker,34 y/o,03/01/1991,1.83 m,107 kg,6 ft,16 st; 235.89 lb,PRO,2025,edinburgh
Ewan ASHMAN,Hooker,25 y/o,03/04/2000,1.88 m,113 kg,6 ft 2 in,17 st 11.12 lb; 249.12 lb,PRO,2027,edinburgh
Patrick HARRISON,Hooker,23 y/o,20/06/2002,1.81 m,111 kg,5 ft 11 in,17 st 6.71 lb; 244.71 lb,PRO,2027,edinburgh
Glen YOUNG,Lock,30 y/o,04/11/1994,2.01 m,118 kg,6 ft 7 in,18 st 8.15 lb; 260.15 lb,PRO,,edinburgh
Grant GILCHRIST,Lock,34 y/o,09/08/1990,1.98 m,120 kg,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2026,edinburgh
Marshall SYKES,Lock,25 y/o,29/12/1999,2.00 m,121 kg,6 ft 7 in,19 st 0.76 lb; 266.76 lb,PRO,2026,edinburgh
Rob CARMICHAEL,Lock,22 y/o,04/04/2003,2.10 m,125 kg,6 ft 11 in,19 st 9.58 lb; 275.58 lb,PRO,2027,edinburgh
Ben MUNCASTER,Back row,23 y/o,14/10/2001,1.90 m,110 kg,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2027,edinburgh
Connor BOYLE,Back row,25 y/o,19/02/2000,1.83 m,91 kg,6 ft,14 st; 200.62 lb,PRO,2025,edinburgh
Hamish WATSON,Back row,33 y/o,15/10/1991,1.85 m,106 kg,6 ft 1 in,16 st 9.69 lb; 233.69 lb,PRO,2026,edinburgh
Jamie RITCHIE,Back row,28 y/o,16/08/1996,1.90 m,110 kg,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2025,edinburgh
Liam MCCONNELL,Back row,21 y/o,24/06/2004,1.94 m,106 kg,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,,edinburgh
Luke CROSBIE,Back row,28 y/o,22/04/1997,1.96 m,112 kg,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2027,edinburgh
Magnus BRADBURY,Back row,29 y/o,23/08/1995,1.91 m,116 kg,6 ft 3 in,18 st 3.74 lb; 255.74 lb,PRO,,edinburgh
Sam SKINNER,Back row,30 y/o,31/01/1995,1.96 m,115 kg,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,2026,edinburgh
Tom DODD,Back row,27 y/o,28/10/1997,1.91 m,109 kg,6 ft 3 in,17 st 2.30 lb; 240.30 lb,PRO,2027,edinburgh
Ali PRICE,Scrum-half,32 y/o,12/05/1993,1.77 m,88 kg,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,2025,edinburgh
Ben VELLACOTT,Scrum-half,30 y/o,28/03/1995,1.67 m,78 kg,5 ft 6 in,12 st 3.96 lb; 171.96 lb,PRO,2027,edinburgh
Charlie SHIEL,Scrum-half,27 y/o,03/12/1997,1.78 m,83 kg,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2026,edinburgh
Ben HEALY,Fly-half,26 y/o,29/06/1999,1.91 m,100 kg,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,2026,edinburgh
Cammy SCOTT,Fly-half,23 y/o,08/09/2001,1.81 m,83 kg,5 ft 11 in,13 st 0.98 lb; 182.98 lb,PRO,2027,edinburgh
James LANG,Fly-half,30 y/o,04/04/1995,1.83 m,95 kg,6 ft,14 st; 209.44 lb,PRO,2026,edinburgh
Ross THOMPSON,Fly-half,26 y/o,10/04/1999,1.83 m,86 kg,6 ft,13 st; 189.60 lb,PRO,2027,edinburgh
Mark BENNETT,Centre,32 y/o,03/02/1993,1.83 m,91 kg,6 ft,14 st; 200.62 lb,PRO,2025,edinburgh
Matt CURRIE,Centre,24 y/o,22/02/2001,1.91 m,95 kg,6 ft 3 in,14 st 13.44 lb; 209.44 lb,PRO,2027,edinburgh
Matt SCOTT,Centre,34 y/o,30/09/1990,1.87 m,101 kg,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,2025,edinburgh
Mosese TUIPULOTU,Centre,24 y/o,05/05/2001,1.82 m,102 kg,6 ft,16 st; 224.87 lb,PRO,2026,edinburgh
Wes GOOSEN,Centre,29 y/o,20/10/1995,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,edinburgh
Darcy GRAHAM,Winger,28 y/o,21/06/1997,1.77 m,85 kg,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,2027,edinburgh
Duhan VAN DER MERWE,Winger,30 y/o,04/06/1995,1.93 m,106 kg,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,2027,edinburgh
Ross MCCANN,Winger,27 y/o,30/10/1997,1.81 m,91 kg,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,edinburgh
Ross MCKNIGHT,Winger,23 y/o,03/04/2002,1.95 m,108 kg,6 ft 5 in,17 st 0.10 lb; 238.10 lb,PRO,2025,edinburgh
Emiliano BOFFELLI,Fullback,30 y/o,16/01/1995,1.92 m,96 kg,6 ft 4 in,15 st 1.64 lb; 211.64 lb,PRO,2025,edinburgh
Harry PATERSON,Fullback,24 y/o,28/06/2001,1.91 m,93 kg,6 ft 3 in,14 st 9.03 lb; 205.03 lb,PRO,2027,edinburgh
Nathan SWEENEY,Fullback,24 y/o,17/04/2001,1.81 m,89 kg,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,2025,edinburgh
Fin RICHARDSON,Prop,26 y/o,16/09/1998,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,,glasgow
Jamie BHATTI,Prop,31 y/o,08/09/1993,1.85 m,125 kg,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2026,glasgow
Murphy WALKER,Prop,25 y/o,25/10/1999,1.85 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2026,glasgow
Nathan MCBETH,Prop,27 y/o,08/06/1998,1.89 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2027,glasgow
Patrick SCHICKERLING,Prop,26 y/o,16/10/1998,1.82 m,120 kg,6 ft,18 st; 264.55 lb,PRO,,glasgow
Rory SUTHERLAND,Prop,32 y/o,24/08/1992,1.83 m,116 kg,6 ft,18 st; 255.74 lb,PRO,2026,glasgow
Sam TALAKAI,Prop,33 y/o,04/09/1991,1.83 m,122 kg,6 ft,19 st; 268.96 lb,PRO,,glasgow
Zander FAGERSON,Prop,29 y/o,19/01/1996,1.88 m,126 kg,6 ft 2 in,19 st 11.78 lb; 277.78 lb,PRO,,glasgow
Angus FRASER,Hooker,25 y/o,09/12/1999,1.81 m,110 kg,5 ft 11 in,17 st 4.51 lb; 242.51 lb,PRO,,glasgow
Grant STEWART,Hooker,30 y/o,28/02/1995,1.82 m,113 kg,6 ft,17 st; 249.12 lb,PRO,2026,glasgow
Gregor HIDDLESTON,Hooker,23 y/o,26/03/2002,1.87 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,glasgow
Johnny MATTHEWS,Hooker,31 y/o,05/07/1993,1.83 m,110 kg,6 ft,17 st; 242.51 lb,PRO,2026,glasgow
Alex SAMUEL,Lock,22 y/o,27/12/2002,2.07 m,124 kg,6 ft 9 in,19 st 7.37 lb; 273.37 lb,PRO,2027,glasgow
Euan FERRIE,Lock,23 y/o,23/07/2001,1.94 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2027,glasgow
Gregor BROWN,Lock,23 y/o,01/07/2001,1.96 m,109 kg,6 ft 5 in,17 st 2.30 lb; 240.30 lb,PRO,2027,glasgow
JP DU PREEZ,Lock,30 y/o,09/11/1994,2.08 m,130 kg,6 ft 10 in,20 st 6.60 lb; 286.60 lb,PRO,2025,glasgow
Max WILLIAMSON,Lock,23 y/o,08/05/2002,2.01 m,120 kg,6 ft 7 in,18 st 12.55 lb; 264.55 lb,PRO,2027,glasgow
Richie GRAY,Lock,35 y/o,24/08/1989,2.05 m,126 kg,6 ft 9 in,19 st 11.78 lb; 277.78 lb,PRO,,glasgow
Scott CUMMINGS,Lock,28 y/o,03/12/1996,1.99 m,117 kg,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2026,glasgow
Ally MILLER,Back row,29 y/o,10/05/1996,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2026,glasgow
Henco VENTER,Back row,33 y/o,27/03/1992,1.87 m,108 kg,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2025,glasgow
Jack DEMPSEY,Back row,31 y/o,12/04/1994,1.91 m,112 kg,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,2025,glasgow
Jack MANN,Back row,25 y/o,17/11/1999,1.94 m,115 kg,6 ft 4 in,18 st 1.53 lb; 253.53 lb,PRO,2025,glasgow
Matt FAGERSON,Back row,26 y/o,16/07/1998,1.86 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2028,glasgow
Rory DARGE,Back row,25 y/o,23/02/2000,1.86 m,102 kg,6 ft 1 in,16 st 0.87 lb; 224.87 lb,PRO,2028,glasgow
Sione VAILANU,Back row,30 y/o,27/01/1995,1.89 m,119 kg,6 ft 2 in,18 st 10.35 lb; 262.35 lb,PRO,,glasgow
Ben AFSHAR,Scrum-half,22 y/o,02/04/2003,1.84 m,81 kg,6 ft,12 st; 178.57 lb,PRO,,glasgow
George HORNE,Scrum-half,30 y/o,12/05/1995,1.74 m,81 kg,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,2027,glasgow
Jamie DOBIE,Scrum-half,24 y/o,07/06/2001,1.75 m,81 kg,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,,glasgow
Sean KENNEDY,Scrum-half,34 y/o,24/04/1991,1.73 m,80 kg,5 ft 8 in,12 st 8.37 lb; 176.37 lb,PRO,2025,glasgow
Adam HASTINGS,Fly-half,28 y/o,05/10/1996,1.89 m,93 kg,6 ft 2 in,14 st 9.03 lb; 205.03 lb,PRO,2026,glasgow
Duncan WEIR,Fly-half,34 y/o,10/05/1991,1.76 m,91 kg,5 ft 9 in,14 st 4.62 lb; 200.62 lb,PRO,2026,glasgow
Tom JORDAN,Fly-half,26 y/o,18/09/1998,1.89 m,96 kg,6 ft 2 in,15 st 1.64 lb; 211.64 lb,PRO,2025,glasgow
Huw JONES,Centre,31 y/o,17/12/1993,1.86 m,102 kg,6 ft 1 in,16 st 0.87 lb; 224.87 lb,PRO,2026,glasgow
Kyle STEYN,Centre,31 y/o,29/01/1994,1.88 m,102 kg,6 ft 2 in,16 st 0.87 lb; 224.87 lb,PRO,2028,glasgow
Sione TUIPULOTU,Centre,28 y/o,12/02/1997,1.78 m,104 kg,5 ft 10 in,16 st 5.28 lb; 229.28 lb,PRO,2028,glasgow
Stafford MCDOWALL,Centre,27 y/o,24/02/1998,1.93 m,103 kg,6 ft 4 in,16 st 3.08 lb; 227.08 lb,PRO,2025,glasgow
Facundo CORDERO,Winger,26 y/o,31/07/1998,1.77 m,86 kg,5 ft 10 in,13 st 7.60 lb; 189.60 lb,PRO,2025,glasgow
Sebastián CANCELLIERE,Winger,31 y/o,17/09/1993,1.85 m,90 kg,6 ft 1 in,14 st 2.42 lb; 198.42 lb,PRO,2025,glasgow
Josh MCKAY,Fullback,27 y/o,10/10/1997,1.83 m,95 kg,6 ft,14 st; 209.44 lb,PRO,2028,glasgow
Kyle ROWE,Fullback,27 y/o,08/02/1998,1.83 m,88 kg,6 ft,13 st; 194.01 lb,PRO,2027,glasgow
Ollie SMITH,Fullback,24 y/o,07/08/2000,1.88 m,90 kg,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,,glasgow
Enzo AVACA,Prop,25 y/o,12/06/2000,1.88 m,118 kg,6 ft 2 in,18 st 8.15 lb; 260.15 lb,PRO,,benetton
Giosué ZILOCCHI,Prop,28 y/o,15/01/1997,1.89 m,115 kg,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,2027,benetton
Ivan NEMER,Prop,27 y/o,22/04/1998,1.80 m,117 kg,5 ft 11 in,18 st 5.94 lb; 257.94 lb,PRO,2026,benetton
Mirco SPAGNOLO,Prop,24 y/o,02/01/2001,1.86 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2027,benetton
Nahuel TETAZ CHAPARRO,Prop,35 y/o,06/11/1989,1.86 m,121 kg,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,,benetton
Simone FERRARI,Prop,31 y/o,28/03/1994,1.86 m,120 kg,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,2029,benetton
Thomas GALLO,Prop,26 y/o,30/04/1999,1.77 m,107 kg,5 ft 10 in,16 st 11.89 lb; 235.89 lb,PRO,2027,benetton
Tiziano PASQUALI,Prop,30 y/o,14/07/1994,1.85 m,118 kg,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,2026,benetton
Agustín CREEVY,Hooker,40 y/o,15/03/1985,1.80 m,108 kg,5 ft 11 in,17 st 0.10 lb; 238.10 lb,PRO,2025,benetton
Bautista BERNASCONI,Hooker,23 y/o,14/09/2001,1.75 m,114 kg,5 ft 9 in,17 st 13.33 lb; 251.33 lb,PRO,2027,benetton
Marco MANFREDI,Hooker,27 y/o,18/09/1997,1.83 m,110 kg,6 ft,17 st; 242.51 lb,PRO,2026,benetton
Siua MAILE,Hooker,28 y/o,18/02/1997,1.81 m,113 kg,5 ft 11 in,17 st 11.12 lb; 249.12 lb,PRO,2026,benetton
Edoardo IACHIZZI,Lock,27 y/o,26/05/1998,1.96 m,112 kg,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2025,benetton
Eli SNYMAN,Lock,29 y/o,25/01/1996,2.01 m,119 kg,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,2026,benetton
Federico RUZZA,Lock,30 y/o,04/08/1994,1.98 m,110 kg,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2028,benetton
Gideon KOEGELENBERG,Lock,30 y/o,25/11/1994,2.02 m,124 kg,6 ft 8 in,19 st 7.37 lb; 273.37 lb,PRO,2025,benetton
Jadin KINGI,Lock,22 y/o,19/08/2002,1.98 m,108 kg,6 ft 6 in,17 st 0.10 lb; 238.10 lb,PRO,2027 +1,benetton
Niccolò CANNONE,Lock,27 y/o,17/05/1998,1.97 m,121 kg,6 ft 6 in,19 st 0.76 lb; 266.76 lb,PRO,2026,benetton
Riccardo FAVRETTO,Lock,23 y/o,18/10/2001,2.00 m,108 kg,6 ft 7 in,17 st 0.10 lb; 238.10 lb,PRO,2026,benetton
Scott SCRAFTON,Lock,32 y/o,18/04/1993,2.00 m,120 kg,6 ft 7 in,18 st 12.55 lb; 264.55 lb,PRO,2026 +1,benetton
Alessandro IZEKOR,Back row,25 y/o,05/03/2000,1.96 m,110 kg,6 ft 5 in,17 st 4.51 lb; 242.51 lb,PRO,2028,benetton
Giulio MARINI,Back row,23 y/o,23/01/2002,1.95 m,102 kg,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,,benetton
Lorenzo CANNONE,Back row,24 y/o,28/01/2001,1.90 m,106 kg,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2026,benetton
Manuel ZULIANI,Back row,25 y/o,26/04/2000,1.88 m,111 kg,6 ft 2 in,17 st 6.71 lb; 244.71 lb,PRO,2027,benetton
Michele LAMARO,Back row,27 y/o,03/06/1998,1.88 m,103 kg,6 ft 2 in,16 st 3.08 lb; 227.08 lb,PRO,2028,benetton
Seb NEGRI,Back row,31 y/o,30/06/1994,1.94 m,111 kg,6 ft 4 in,17 st 6.71 lb; 244.71 lb,PRO,2028,benetton
Toa HALAFIHI,Back row,31 y/o,27/11/1993,1.85 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2025,benetton
Alessandro GARBISI,Scrum-half,23 y/o,11/04/2002,1.74 m,88 kg,5 ft 9 in,13 st 12.01 lb; 194.01 lb,PRO,2027,benetton
Andy UREN,Scrum-half,29 y/o,20/02/1996,1.78 m,93 kg,5 ft 10 in,14 st 9.03 lb; 205.03 lb,PRO,2028,benetton
Lautaro BAZÁN VÉLEZ,Scrum-half,29 y/o,24/02/1996,1.73 m,82 kg,5 ft 8 in,12 st 12.78 lb; 180.78 lb,PRO,2025,benetton
Nicolò CASILIO,Scrum-half,26 y/o,12/10/1998,1.80 m,85 kg,5 ft 11 in,13 st 5.39 lb; 187.39 lb,PRO,2025,benetton
Giuliano AVACA,Fly-half,22 y/o,25/02/2003,1.80 m,89 kg,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,benetton
Jacob UMAGA,Fly-half,26 y/o,08/07/1998,1.82 m,91 kg,6 ft,14 st; 200.62 lb,PRO,2026,benetton
Leonardo MARIN,Fly-half,23 y/o,23/02/2002,1.88 m,88 kg,6 ft 2 in,13 st 12.01 lb; 194.01 lb,PRO,2026,benetton
Tomás ALBORNOZ,Fly-half,27 y/o,17/09/1997,1.77 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,2026,benetton
Federico ZANANDREA,Centre,20 y/o,30/01/2005,1.90 m,103 kg,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,,benetton
Ignacio BREX,Centre,33 y/o,26/05/1992,1.89 m,99 kg,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,2025,benetton
Malakai FEKITOA,Centre,33 y/o,10/05/1992,1.87 m,100 kg,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2026,benetton
Marco ZANON,Centre,27 y/o,03/10/1997,1.88 m,97 kg,6 ft 2 in,15 st 3.85 lb; 213.85 lb,PRO,2026,benetton
Tommaso MENONCELLO,Centre,22 y/o,20/08/2002,1.87 m,101 kg,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,2026,benetton
Ignacio MENDY,Winger,25 y/o,29/06/2000,1.87 m,90 kg,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,2025,benetton
Louis LYNAGH,Winger,24 y/o,03/12/2000,1.80 m,96 kg,5 ft 11 in,15 st 1.64 lb; 211.64 lb,PRO,2026 +1,benetton
Onisi RATAVE,Winger,33 y/o,06/06/1992,1.79 m,100 kg,5 ft 10 in,15 st 10.46 lb; 220.46 lb,PRO,2026,benetton
Paolo ODOGWU,Winger,28 y/o,18/02/1997,1.75 m,100 kg,5 ft 9 in,15 st 10.46 lb; 220.46 lb,PRO,2027,benetton
Matt GALLAGHER,Fullback,28 y/o,26/10/1996,1.85 m,96 kg,6 ft 1 in,15 st 1.64 lb; 211.64 lb,PRO,2027,benetton
Rhyno SMITH,Fullback,32 y/o,11/02/1993,1.73 m,83 kg,5 ft 8 in,13 st 0.98 lb; 182.98 lb,PRO,2026,benetton
Andrew PORTER,Prop,29 y/o,16/01/1996,1.85 m,125 kg,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2027,leinster
Cian HEALY,Prop,37 y/o,07/10/1987,1.85 m,117 kg,6 ft 1 in,18 st 5.94 lb; 257.94 lb,PRO,2025,leinster
Ivan SOROKA,Prop,30 y/o,01/10/1994,1.80 m,110 kg,5 ft 11 in,17 st 4.51 lb; 242.51 lb,PRO,,leinster
Jack BOYLE,Prop,23 y/o,10/03/2002,1.85 m,113 kg,6 ft 1 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Paddy MCCARTHY,Prop,22 y/o,28/05/2003,1.82 m,110 kg,6 ft,17 st; 242.51 lb,PRO,,leinster
Rabah SLIMANI,Prop,35 y/o,18/10/1989,1.78 m,124 kg,5 ft 10 in,19 st 7.37 lb; 273.37 lb,PRO,2026,leinster
Tadhg FURLONG,Prop,32 y/o,14/11/1992,1.83 m,119 kg,6 ft,18 st; 262.35 lb,PRO,2027,leinster
Tom CLARKSON,Prop,25 y/o,22/02/2000,1.85 m,118 kg,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,,leinster
Dan SHEEHAN,Hooker,26 y/o,17/09/1998,1.91 m,110 kg,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2026,leinster
John MCKEE,Hooker,25 y/o,15/02/2000,1.83 m,109 kg,6 ft,17 st; 240.30 lb,PRO,,leinster
Ronan KELLEHER,Hooker,27 y/o,24/01/1998,1.85 m,108 kg,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,2025,leinster
Brian DEENY,Lock,25 y/o,03/02/2000,2.00 m,119 kg,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,,leinster
James RYAN,Lock,28 y/o,24/07/1996,2.01 m,115 kg,6 ft 7 in,18 st 1.53 lb; 253.53 lb,PRO,2028,leinster
Joe MCCARTHY,Lock,24 y/o,26/03/2001,1.98 m,119 kg,6 ft 6 in,18 st 10.35 lb; 262.35 lb,PRO,2028,leinster
RG SNYMAN,Lock,30 y/o,29/01/1995,2.07 m,131 kg,6 ft 9 in,20 st 8.81 lb; 288.81 lb,PRO,2026,leinster
Ryan BAIRD,Lock,25 y/o,26/07/1999,1.98 m,113 kg,6 ft 6 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Alex SOROKA,Back row,24 y/o,19/02/2001,1.96 m,107 kg,6 ft 5 in,16 st 11.89 lb; 235.89 lb,PRO,,leinster
Caelan DORIS,Back row,27 y/o,02/04/1998,1.93 m,106 kg,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,2027,leinster
Jack CONAN,Back row,32 y/o,29/07/1992,1.93 m,111 kg,6 ft 4 in,17 st 6.71 lb; 244.71 lb,PRO,2027,leinster
James CULHANE,Back row,22 y/o,22/10/2002,1.93 m,113 kg,6 ft 4 in,17 st 11.12 lb; 249.12 lb,PRO,,leinster
Josh VAN DER FLIER,Back row,32 y/o,25/04/1993,1.83 m,105 kg,6 ft,16 st; 231.49 lb,PRO,2026,leinster
Max DEEGAN,Back row,28 y/o,01/10/1996,1.93 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,,leinster
Scott PENNY,Back row,25 y/o,22/09/1999,1.85 m,104 kg,6 ft 1 in,16 st 5.28 lb; 229.28 lb,PRO,,leinster
Will CONNORS,Back row,29 y/o,04/04/1996,1.96 m,105 kg,6 ft 5 in,16 st 7.49 lb; 231.49 lb,PRO,,leinster
Cormac FOLEY,Scrum-half,25 y/o,24/10/1999,1.80 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,,leinster
Jamison GIBSON-PARK,Scrum-half,33 y/o,23/02/1992,1.75 m,83 kg,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,,leinster
Luke MCGRATH,Scrum-half,32 y/o,03/02/1993,1.75 m,84 kg,5 ft 9 in,13 st 3.19 lb; 185.19 lb,PRO,,leinster
Ciarán FRAWLEY,Fly-half,27 y/o,04/12/1997,1.91 m,98 kg,6 ft 3 in,15 st 6.05 lb; 216.05 lb,PRO,,leinster
Ross BYRNE,Fly-half,30 y/o,08/04/1995,1.93 m,95 kg,6 ft 4 in,14 st 13.44 lb; 209.44 lb,PRO,2025,leinster
Sam PRENDERGAST,Fly-half,22 y/o,12/02/2003,1.94 m,91 kg,6 ft 4 in,14 st 4.62 lb; 200.62 lb,PRO,,leinster
Garry RINGROSE,Centre,30 y/o,26/01/1995,1.86 m,92 kg,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,2028,leinster
Jamie OSBORNE,Centre,23 y/o,16/11/2001,1.93 m,98 kg,6 ft 4 in,15 st 6.05 lb; 216.05 lb,PRO,,leinster
Jordie BARRETT,Centre,28 y/o,17/02/1997,1.96 m,102 kg,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,2025,leinster
Robbie HENSHAW,Centre,32 y/o,12/06/1993,1.91 m,100 kg,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,2028,leinster
Tommy O'BRIEN,Centre,27 y/o,28/05/1998,1.83 m,95 kg,6 ft,14 st; 209.44 lb,PRO,,leinster
James LOWE,Winger,32 y/o,08/07/1992,1.88 m,105 kg,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,,leinster
Jordan LARMOUR,Winger,28 y/o,10/06/1997,1.78 m,91 kg,5 ft 10 in,14 st 4.62 lb; 200.62 lb,PRO,,leinster
Liam TURNER,Winger,25 y/o,14/07/1999,1.75 m,91 kg,5 ft 9 in,14 st 4.62 lb; 200.62 lb,PRO,2025,leinster
Rob RUSSELL,Winger,26 y/o,13/01/1999,1.83 m,91 kg,6 ft,14 st; 200.62 lb,PRO,2025,leinster
Hugo KEENAN,Fullback,29 y/o,18/06/1996,1.85 m,92 kg,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,2026,leinster
Jimmy O'BRIEN,Fullback,28 y/o,27/11/1996,1.83 m,90 kg,6 ft,14 st; 198.42 lb,PRO,,leinster
Asenathi NTLABAKANYE,Prop,26 y/o,15/04/1999,1.82 m,153 kg,6 ft,24 st; 337.31 lb,PRO,2027,lions
Conraad VAN VUUREN,Prop,29 y/o,34798,1.83 m,115 kg,6 ft,18 st; 253.53 lb,PRO,,lions
Heiko POHLMANN,Prop,23 y/o,16/01/2002,1.85 m,128 kg,6 ft 1 in,20 st 2.19 lb; 282.19 lb,PRO,,lions
Juan SCHOEMAN,Prop,33 y/o,18/09/1991,1.86 m,120 kg,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Morgan NAUDÉ,Prop,26 y/o,36107,1.81 m,108 kg,5 ft 11 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
RF SCHOEMAN,Prop,21 y/o,14/08/2003,1.88 m,122 kg,6 ft 2 in,19 st 2.96 lb; 268.96 lb,PRO,,lions
Sivu MABECE,Prop,22 y/o,27/07/2002,1.86 m,120 kg,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Stian DE BRUYN,Prop,-,-,1.88 m,118 kg,6 ft 2 in,18 st 8.15 lb; 260.15 lb,PRO,,lions
Franco MARAIS,Hooker,32 y/o,23/09/1992,1.85 m,108 kg,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,,lions
Jaco VISAGIE,Hooker,32 y/o,33823,1.88 m,107 kg,6 ft 2 in,16 st 11.89 lb; 235.89 lb,PRO,,lions
Jacques-Lois DU TOIT,Hooker,24 y/o,23/04/2001,1.75 m,96 kg,5 ft 9 in,15 st 1.64 lb; 211.64 lb,PRO,,lions
Marno GROBBELAAR,Hooker,21 y/o,37903,1.83 m,105 kg,6 ft,16 st; 231.49 lb,PRO,,lions
Morné BRANDON,Hooker,24 y/o,25/11/2000,1.84 m,106 kg,6 ft,16 st; 233.69 lb,PRO,2025,lions
PJ BOTHA,Hooker,27 y/o,20/01/1998,1.81 m,105 kg,5 ft 11 in,16 st 7.49 lb; 231.49 lb,PRO,,lions
SJ KOTZE,Hooker,22 y/o,37653,1.86 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,,lions
